episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
1,26,1762.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,15.43,15.86,7,7,10,0.2174,0.1586,0.35,0.0217,-0.0793,-0.07,0.0065,0.0,-0.1428,-0.0283,-0.0416,1.0,46
1,27,1858.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,15.86,40.57,7,7,23,0.2396,0.4057,0.35,0.024,-0.2029,-0.07,0.0072,0.0,-0.2657,-0.0506,-0.0744,1.0,96
1,28,1924.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,40.57,26.57,7,7,15,0.2273,0.2657,0.35,0.0227,-0.1329,-0.07,0.0068,0.0,-0.196,-0.0562,-0.0725,1.0,66
1,29,1990.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.57,26.71,7,7,15,0.2273,0.2671,0.35,0.0227,-0.1336,-0.07,0.0068,0.0,-0.1968,-0.0725,-0.0873,1.0,66
1,30,2056.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.71,26.86,7,7,15,0.2273,0.2686,0.35,0.0227,-0.1343,-0.07,0.0068,0.0,-0.1975,-0.0873,-0.1006,1.0,66
1,31,2102.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.86,15.29,7,7,10,0.2174,0.1529,0.35,0.0217,-0.0764,-0.07,0.0065,0.0,-0.1399,-0.026,-0.0392,1.0,46
1,32,2148.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,15.29,17.0,7,7,10,0.2174,0.17,0.35,0.0217,-0.085,-0.07,0.0065,0.0,-0.1485,-0.0416,-0.0541,1.0,46
1,33,2214.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,17.0,26.0,7,7,15,0.2273,0.26,0.35,0.0227,-0.13,-0.07,0.0068,0.0,-0.1932,-0.0576,-0.0744,1.0,66
1,34,2280.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.0,26.86,7,7,15,0.2273,0.2686,0.35,0.0227,-0.1343,-0.07,0.0068,0.0,-0.1975,-0.1006,-0.1135,1.0,66
1,35,2326.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.86,16.29,7,7,10,0.2174,0.1629,0.35,0.0217,-0.0814,-0.07,0.0065,0.0,-0.1449,-0.0392,-0.0517,1.0,46
1,36,2422.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.29,40.0,7,7,23,0.2396,0.4,0.35,0.024,-0.2,-0.07,0.0072,0.0,-0.2628,-0.0744,-0.0965,1.0,96
1,37,2518.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.0,39.71,7,7,23,0.2396,0.3971,0.35,0.024,-0.1986,-0.07,0.0072,0.0,-0.2614,-0.1457,-0.1605,1.0,96
1,38,2564.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,39.71,17.14,7,7,10,0.2174,0.1714,0.35,0.0217,-0.0857,-0.07,0.0065,0.0,-0.1492,-0.0517,-0.0633,1.0,46
1,39,2596.0,Low*Medium*NoStarvation,30,Low*Low*NoStarvation,17.14,0.0,7,0,13,0.197,0.0,0.0,0.0197,-0.0,-0.0,0.0059,0.0,0.0059,-0.0744,-0.0664,1.0,66
2,0,116.0,Low*Low*NoStarvation,30,Medium*Medium*NoStarvation,0.83,26.71,2,7,31,0.4697,0.2671,0.35,0.047,-0.1336,-0.07,0.0141,0.0,-0.1895,-0.0189,-0.0392,0.995,66
2,1,182.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.71,26.43,7,7,30,0.4545,0.2643,0.35,0.0455,-0.1321,-0.07,0.0136,0.0,-0.1885,-0.1135,-0.1242,0.995,66
2,2,248.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.43,25.29,7,7,30,0.4545,0.2529,0.35,0.0455,-0.1264,-0.07,0.0136,0.0,-0.1828,-0.1242,-0.1333,0.995,66
2,3,294.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.29,15.29,7,7,20,0.4348,0.1529,0.35,0.0435,-0.0764,-0.07,0.013,0.0,-0.1334,-0.0633,-0.0721,0.995,46
2,4,360.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.29,25.43,7,7,30,0.4545,0.2543,0.35,0.0455,-0.1271,-0.07,0.0136,0.0,-0.1835,-0.0664,-0.0813,0.995,66
2,5,456.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,25.43,41.86,7,7,41,0.4271,0.4186,0.35,0.0427,-0.2093,-0.07,0.0128,0.0,-0.2665,-0.1605,-0.1743,0.995,96
2,6,482.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,41.86,7.14,7,7,9,0.3462,0.0714,0.35,0.0346,-0.0357,-0.07,0.0104,0.0,-0.0953,-0.0357,-0.0435,0.995,26
2,7,578.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,7.14,40.86,7,7,43,0.4479,0.4086,0.35,0.0448,-0.2043,-0.07,0.0134,0.0,-0.2608,-0.0965,-0.1168,0.995,96
2,8,624.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,40.86,16.43,7,7,19,0.413,0.1643,0.35,0.0413,-0.0821,-0.07,0.0124,0.0,-0.1398,-0.0721,-0.0807,0.995,46
2,9,670.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.43,16.0,7,7,19,0.413,0.16,0.35,0.0413,-0.08,-0.07,0.0124,0.0,-0.1376,-0.0541,-0.0643,0.995,46
2,10,716.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.0,16.71,7,7,19,0.413,0.1671,0.35,0.0413,-0.0836,-0.07,0.0124,0.0,-0.1412,-0.0643,-0.0739,0.995,46
