Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,1,0.5,0,0.33
7,0,1,0.5,0,0.67
8,0,2,1.0,0,0.75
9,0,1,0.5,0,1.0
10,0,1,0.5,1,1.25
11,0,1,0.5,0,1.5
12,0,1,0.5,0,2.33
13,0,1,0.5,1,2.0
14,0,1,0.5,0,3.0
15,0,2,1.0,1,2.0
16,0,2,1.0,0,2.4
17,0,2,1.0,1,2.8
18,0,2,1.0,0,3.2
19,0,2,1.0,1,3.6
20,0,2,1.0,0,4.0
21,0,3,1.5,0,3.67
22,0,3,1.5,0,4.17
23,0,3,1.5,1,5.6
24,0,3,1.5,0,5.17
25,0,3,1.5,1,6.8
26,0,3,1.5,0,6.17
27,0,4,2.0,1,6.83
28,0,5,2.5,0,6.43
29,0,4,2.0,1,7.0
30,0,4,2.0,1,7.57
31,0,4,2.0,0,8.14
32,0,4,2.0,0,8.71
33,0,5,2.5,1,9.43
34,0,5,2.5,0,11.83
35,0,5,2.5,0,10.86
36,0,5,2.5,1,11.57
37,0,5,2.5,0,12.29
38,0,5,2.5,0,13.0
39,0,5,2.5,1,13.71
40,0,5,2.5,1,14.43
41,0,5,2.5,0,15.14
42,0,5,2.5,1,15.86
43,0,5,2.5,0,16.57
44,0,5,2.5,1,15.12
45,1,5,2.0,0,15.88
46,1,4,1.5,0,11.5
47,2,3,0.5,1,8.25
48,2,2,0.0,0,4.89
49,2,1,0.5,0,3.12
50,2,0,1.0,0,1.11
51,3,0,1.5,0,1.44
52,3,0,1.5,1,2.0
53,4,0,2.0,0,2.0
54,4,0,2.0,0,2.67
55,4,0,2.0,1,3.11
56,5,0,2.5,0,3.67
57,6,0,3.0,1,4.33
58,6,0,3.0,1,5.0
59,7,0,3.5,0,6.5
60,7,0,3.5,1,6.56
61,7,0,3.5,0,8.25
62,7,0,3.5,1,8.11
63,7,0,3.5,0,10.0
64,7,0,3.5,1,10.88
65,7,0,3.5,0,13.43
66,7,0,3.5,1,14.43
67,7,0,3.5,1,15.43
68,7,0,3.5,0,14.38
69,7,0,3.5,1,15.25
70,7,0,3.5,0,16.12
71,7,0,3.5,0,19.43
72,7,0,3.5,0,20.43
73,7,0,3.5,0,21.43
74,7,0,3.5,0,22.43
75,7,0,3.5,1,20.5
76,7,0,3.5,0,21.38
77,7,0,3.5,0,22.25
78,7,0,3.5,0,26.43
79,7,0,3.5,0,27.43
80,7,0,3.5,0,28.43
81,7,0,3.5,0,25.75
82,7,0,3.5,1,26.62
83,7,0,3.5,0,27.5
84,7,0,3.5,0,32.43
85,7,0,3.5,0,33.43
86,7,0,3.5,0,34.43
87,7,0,3.5,0,35.43
88,7,0,3.5,0,31.88
89,7,0,3.5,1,32.75
90,7,0,3.5,0,33.62
91,6,0,3.0,0,32.71
92,5,0,2.5,0,27.0
93,4,1,1.5,0,21.71
94,3,1,1.0,0,19.17
95,2,2,0.0,0,11.29
96,1,1,0.0,0,6.0
97,0,1,0.5,0,0.83
98,0,1,0.5,0,1.0
99,0,1,0.5,1,1.4
100,0,1,0.5,0,1.6
101,0,1,0.5,0,1.5
102,0,2,1.0,1,1.83
103,0,2,1.0,1,2.6
104,0,2,1.0,0,2.5
105,0,2,1.0,1,3.4
106,0,2,1.0,0,3.17
107,0,2,1.0,1,4.2
108,0,4,2.0,1,4.0
109,0,3,1.5,0,4.5
110,0,3,1.5,1,5.0
111,0,3,1.5,0,5.5
112,0,3,1.5,1,6.0
113,0,3,1.5,0,6.5
114,0,4,2.0,1,7.17
115,0,5,2.5,0,6.71
116,0,4,2.0,1,7.29
117,0,4,2.0,0,7.86
118,0,4,2.0,1,8.43
119,0,5,2.5,1,9.14
120,0,5,2.5,0,9.86
121,0,5,2.5,0,10.57
122,0,5,2.5,1,11.29
123,0,5,2.5,0,12.0
124,0,5,2.5,1,12.71
125,0,5,2.5,0,13.43
126,0,5,2.5,1,14.14
127,0,5,2.5,1,14.86
128,0,5,2.5,0,15.57
129,0,5,2.5,1,16.29
130,0,5,2.5,0,14.88
131,0,5,2.5,1,17.71
132,0,5,2.5,0,16.12
133,0,5,2.5,0,19.14
134,0,5,2.5,1,17.38
135,0,5,2.5,0,16.0
136,1,4,1.5,0,11.78
137,1,3,1.0,1,8.33
138,1,2,0.5,0,4.8
139,1,1,0.0,1,2.78
140,2,0,1.0,0,0.67
141,3,0,1.5,0,1.0
142,4,0,2.0,0,1.44
143,4,0,2.0,1,1.89
144,5,0,2.5,0,2.44
145,6,0,3.0,1,3.11
146,6,0,3.0,0,3.78
147,7,0,3.5,1,4.56
148,7,0,3.5,0,5.33
149,7,0,3.5,1,6.11
150,7,0,3.5,1,6.89
151,7,0,3.5,0,7.67
152,7,0,3.5,1,8.44
153,7,0,3.5,0,10.38
154,7,0,3.5,1,11.25
155,7,0,3.5,0,12.12
156,7,0,3.5,1,13.0
157,7,0,3.5,1,13.88
158,7,0,3.5,0,16.86
159,7,0,3.5,1,17.86
160,7,0,3.5,0,18.86
161,7,0,3.5,0,17.38
162,7,0,3.5,1,18.25
163,7,0,3.5,0,19.12
164,7,0,3.5,0,22.86
165,7,0,3.5,0,23.86
166,7,0,3.5,0,24.86
167,7,0,3.5,0,25.86
168,7,0,3.5,0,23.5
169,7,0,3.5,1,24.38
170,7,0,3.5,0,25.25
171,7,0,3.5,0,29.86
172,7,0,3.5,0,30.86
173,7,0,3.5,0,31.86
174,7,0,3.5,0,32.86
175,7,0,3.5,1,29.62
176,7,0,3.5,0,30.5
177,7,0,3.5,0,31.38
178,7,0,3.5,0,36.86
179,7,0,3.5,0,37.86
180,7,0,3.5,0,38.86
181,6,0,3.0,0,33.29
182,5,0,2.5,1,28.0
183,4,0,2.0,0,22.57
184,3,0,1.5,0,19.83
185,2,0,1.0,0,13.33
186,1,1,0.0,0,8.2
187,0,1,0.5,0,0.4
188,0,2,1.0,0,0.6
189,0,1,0.5,1,0.8
190,0,1,0.5,0,1.25
191,0,1,0.5,1,1.2
192,0,1,0.5,1,1.75
193,0,1,0.5,0,1.6
194,0,1,0.5,1,2.25
195,0,1,0.5,0,1.67
196,0,1,0.5,1,2.2
197,0,2,1.0,0,2.17
198,0,2,1.0,1,3.0
199,0,2,1.0,0,2.83
200,0,2,1.0,1,3.8
201,0,2,1.0,1,3.5
202,0,3,1.5,0,4.0
203,0,3,1.5,1,4.5
204,0,3,1.5,0,5.0
205,0,3,1.5,1,5.5
206,0,4,2.0,0,6.17
207,0,4,2.0,1,6.83
208,0,5,2.5,0,6.43
209,0,4,2.0,1,7.0
210,0,4,2.0,0,7.57
211,0,4,2.0,1,8.14
212,0,5,2.5,0,8.86
213,0,5,2.5,1,9.57
214,0,5,2.5,0,10.29
215,0,5,2.5,1,11.0
216,0,5,2.5,0,11.71
217,0,5,2.5,1,12.43
218,0,5,2.5,0,13.14
219,0,5,2.5,1,13.86
220,0,5,2.5,0,14.57
221,0,5,2.5,1,15.29
222,0,5,2.5,0,16.0
223,0,5,2.5,1,16.71
224,0,5,2.5,1,17.43
225,0,5,2.5,0,15.88
226,0,4,2.0,1,11.38
227,0,3,1.5,0,8.0
228,1,2,0.5,1,4.56
229,2,1,0.5,0,2.62
230,2,0,1.0,0,0.56
231,3,0,1.5,0,1.0
232,4,0,2.0,1,1.5
233,4,0,2.0,0,1.78
234,5,0,2.5,1,2.33
235,5,0,2.5,0,3.25
236,6,0,3.0,1,3.56
237,6,0,3.0,0,4.75
238,7,0,3.5,1,5.0
239,7,0,3.5,1,6.5
240,7,0,3.5,0,6.56
241,7,0,3.5,1,8.25
242,7,0,3.5,0,8.11
243,7,0,3.5,1,10.0
244,7,0,3.5,0,10.88
245,7,0,3.5,1,13.43
246,7,0,3.5,0,14.43
247,7,0,3.5,1,15.43
248,7,0,3.5,0,14.38
249,7,0,3.5,1,15.25
250,7,0,3.5,0,16.12
251,7,0,3.5,0,19.43
252,7,0,3.5,0,20.43
253,7,0,3.5,0,21.43
254,7,0,3.5,0,22.43
255,7,0,3.5,1,20.5
256,7,0,3.5,0,21.38
257,7,0,3.5,0,22.25
258,7,0,3.5,0,26.43
259,7,0,3.5,0,27.43
260,7,0,3.5,0,28.43
261,7,0,3.5,0,25.75
262,7,0,3.5,1,26.62
263,7,0,3.5,0,27.5
264,7,0,3.5,0,32.43
265,7,0,3.5,0,33.43
266,7,0,3.5,0,34.43
267,7,0,3.5,0,35.43
268,7,0,3.5,1,31.88
269,7,0,3.5,0,32.75
270,7,0,3.5,0,33.62
271,6,0,3.0,0,33.14
272,5,0,2.5,0,27.71
273,4,1,1.5,0,22.43
274,3,1,1.0,0,19.83
275,2,2,0.0,0,11.57
276,1,1,0.0,0,6.14
277,0,1,0.5,0,0.83
278,0,1,0.5,0,1.0
279,0,1,0.5,1,1.4
280,0,1,0.5,1,1.6
281,0,1,0.5,0,1.5
282,0,1,0.5,0,1.67
283,0,2,1.0,1,2.0
284,0,2,1.0,0,2.33
285,0,2,1.0,1,3.2
286,0,2,1.0,1,3.6
287,0,2,1.0,0,4.0
288,0,3,1.5,1,3.67
289,0,3,1.5,0,4.17
290,0,3,1.5,1,4.0
291,0,3,1.5,0,5.17
292,0,3,1.5,1,4.86
293,0,3,1.5,0,6.17
294,0,3,1.5,1,5.71
295,0,5,2.5,0,6.29
296,0,4,2.0,0,6.86
297,0,4,2.0,1,7.43
298,0,4,2.0,0,8.0
299,0,5,2.5,1,8.71
300,0,5,2.5,1,9.43
301,0,5,2.5,0,10.14
302,0,5,2.5,1,10.86
303,0,5,2.5,0,11.57
304,0,5,2.5,1,12.29
305,0,5,2.5,0,13.0
306,0,5,2.5,1,13.71
307,0,5,2.5,1,14.43
308,0,5,2.5,0,15.14
309,0,5,2.5,0,15.86
310,0,5,2.5,1,16.57
311,0,5,2.5,0,17.29
312,0,5,2.5,1,18.0
313,0,5,2.5,0,18.71
314,0,5,2.5,0,17.0
315,0,5,2.5,1,15.67
316,0,4,2.0,1,12.75
317,1,3,1.0,0,8.0
318,1,2,0.5,1,5.11
319,2,1,0.5,0,2.78
320,2,0,1.0,0,0.67
321,3,0,1.5,0,1.0
322,4,0,2.0,1,1.44
323,3,0,1.5,0,1.5
324,5,0,2.5,0,2.22
325,5,0,2.5,1,2.78
326,6,0,3.0,0,3.44
327,6,0,3.0,1,4.62
328,7,0,3.5,1,4.89
329,7,0,3.5,0,6.38
330,7,0,3.5,1,6.44
331,7,0,3.5,0,8.12
332,7,0,3.5,1,8.0
333,7,0,3.5,0,9.88
334,7,0,3.5,1,10.75
335,7,0,3.5,1,11.62
336,7,0,3.5,0,12.5
337,7,0,3.5,1,13.38
338,7,0,3.5,0,16.29
339,7,0,3.5,0,17.29
340,7,0,3.5,1,18.29
341,7,0,3.5,0,16.88
342,7,0,3.5,0,17.75
343,7,0,3.5,1,18.62
344,7,0,3.5,0,22.29
345,7,0,3.5,0,23.29
346,7,0,3.5,0,24.29
347,7,0,3.5,0,25.29
348,7,0,3.5,1,23.0
349,7,0,3.5,0,23.88
350,7,0,3.5,0,24.75
351,7,0,3.5,0,29.29
352,7,0,3.5,0,30.29
353,7,0,3.5,0,31.29
354,7,0,3.5,0,32.29
355,7,0,3.5,1,29.12
356,7,0,3.5,0,30.0
357,7,0,3.5,0,30.88
358,7,0,3.5,0,36.29
359,7,0,3.5,0,37.29
360,7,0,3.5,0,38.29
361,6,0,3.0,0,32.86
362,5,0,2.5,1,27.43
363,4,0,2.0,0,22.0
364,3,0,1.5,0,16.71
365,2,0,1.0,0,13.0
366,1,0,0.5,0,6.5
367,1,1,0.0,0,8.2
368,0,2,1.0,0,0.33
369,0,1,0.5,1,0.6
370,0,1,0.5,0,0.8
371,0,1,0.5,1,1.0
372,0,1,0.5,0,1.2
373,0,1,0.5,0,1.75
374,0,1,0.5,1,1.6
375,0,3,1.5,0,2.0
376,0,2,1.0,1,2.0
377,0,2,1.0,1,2.8
378,0,2,1.0,0,2.67
379,0,2,1.0,1,3.6
380,0,2,1.0,0,4.0
381,0,2,1.0,1,3.67
382,0,3,1.5,1,4.17
383,0,3,1.5,0,4.67
384,0,3,1.5,1,5.17
385,0,3,1.5,0,4.86
386,0,4,2.0,1,6.33
387,0,4,2.0,0,7.0
388,0,5,2.5,1,6.57
389,0,4,2.0,0,7.14
390,0,4,2.0,1,7.71
391,0,5,2.5,1,8.43
392,0,5,2.5,0,9.14
393,0,5,2.5,1,9.86
394,0,5,2.5,0,10.57
395,0,5,2.5,0,11.29
396,0,5,2.5,1,12.0
397,0,5,2.5,0,12.71
398,0,5,2.5,1,13.43
399,0,5,2.5,0,14.14
400,0,5,2.5,1,14.86
401,0,5,2.5,1,15.57
402,0,5,2.5,0,16.29
403,0,5,2.5,0,17.0
404,0,5,2.5,1,15.5
405,0,5,2.5,1,14.33
406,0,4,2.0,0,11.75
407,1,3,1.0,1,7.33
408,1,2,0.5,0,4.78
409,1,1,0.0,0,2.44
410,2,0,1.0,0,0.56
411,3,0,1.5,0,1.0
412,3,0,1.5,0,1.22
413,3,0,1.5,1,1.56
414,4,0,2.0,1,2.0
415,5,0,2.5,0,2.56
416,5,0,2.5,1,3.11
417,6,0,3.0,0,3.78
418,7,0,3.5,1,4.56
419,7,0,3.5,0,5.33
420,7,0,3.5,1,6.11
421,7,0,3.5,0,6.89
422,7,0,3.5,1,7.67
423,7,0,3.5,1,9.5
424,7,0,3.5,0,11.86
425,7,0,3.5,1,12.86
426,7,0,3.5,0,13.86
427,7,0,3.5,1,14.86
428,7,0,3.5,0,13.88
429,7,0,3.5,1,14.75
430,7,0,3.5,0,15.62
431,7,0,3.5,0,18.86
432,7,0,3.5,0,19.86
433,7,0,3.5,0,20.86
434,7,0,3.5,0,21.86
435,7,0,3.5,1,20.0
436,7,0,3.5,0,20.88
437,7,0,3.5,0,21.75
438,7,0,3.5,0,25.86
439,7,0,3.5,0,26.86
440,7,0,3.5,0,27.86
441,7,0,3.5,0,25.25
442,7,0,3.5,1,26.12
443,7,0,3.5,0,27.0
444,7,0,3.5,0,31.86
445,7,0,3.5,0,32.86
446,7,0,3.5,0,33.86
447,7,0,3.5,0,34.86
448,7,0,3.5,1,31.38
449,7,0,3.5,0,32.25
450,7,0,3.5,0,33.12
451,6,0,3.0,0,32.43
452,5,0,2.5,0,27.14
453,4,1,1.5,0,21.86
454,3,1,1.0,0,19.5
455,2,2,0.0,0,11.43
456,1,1,0.0,0,6.14
457,0,1,0.5,0,0.83
458,0,1,0.5,0,1.0
459,0,1,0.5,1,1.4
460,0,1,0.5,0,1.6
461,0,1,0.5,1,1.5
462,0,1,0.5,0,1.67
463,0,2,1.0,1,2.4
464,0,2,1.0,1,2.33
465,0,2,1.0,0,3.2
466,0,2,1.0,0,3.0
467,0,3,1.5,1,4.2
468,0,4,2.0,1,3.43
469,0,3,1.5,0,4.5
470,0,3,1.5,0,4.29
471,0,3,1.5,0,5.5
