Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
10,0,1,0.50,0,0,0,0.00,0.50,10,0
23,5,0,2.50,0,0,3,12.00,0.00,0,10
46,0,3,1.50,0,0,7,0.00,24.50,20,0
59,6,0,3.00,0,0,4,13.50,0.00,0,10
82,0,5,2.50,0,0,6,0.00,29.00,20,0
95,5,0,2.50,0,0,4,12.50,0.00,0,10
118,0,5,2.50,0,0,8,0.00,39.50,20,0
131,6,0,3.00,0,0,4,16.00,0.00,0,10
154,0,5,2.50,0,0,7,0.00,35.50,20,0
167,5,0,2.50,0,0,4,14.50,0.00,0,10
190,0,5,2.50,0,0,8,0.00,41.50,20,0
203,6,0,3.00,0,0,4,16.50,0.00,0,10
226,0,5,2.50,0,0,6,0.00,40.50,20,0
239,5,0,2.50,0,0,4,11.50,0.00,0,10
262,0,5,2.50,0,0,8,0.00,38.50,20,0
275,5,0,2.50,0,0,4,13.50,0.00,0,10
298,0,5,2.50,0,0,8,0.00,39.00,20,0
311,5,0,2.50,0,0,4,11.50,0.00,0,10
334,0,5,2.50,0,0,8,0.00,41.50,20,0
347,5,0,2.50,0,0,4,13.50,0.00,0,10
370,0,5,2.50,0,0,7,0.00,41.00,20,0
383,5,0,2.50,0,0,3,11.50,0.00,0,10
406,0,5,2.50,0,0,7,0.00,44.00,20,0
419,5,0,2.50,0,0,4,11.50,0.00,0,10
442,0,5,2.50,0,0,8,0.00,36.00,20,0
455,6,0,3.00,0,0,3,15.50,0.00,0,10
478,0,5,2.50,0,0,6,0.00,39.00,20,0
491,6,0,3.00,0,0,3,13.50,0.00,0,10
514,0,5,2.50,0,0,8,0.00,37.50,20,0
527,5,0,2.50,0,0,4,12.50,0.00,0,10
550,0,5,2.50,0,0,6,0.00,45.00,20,0
563,5,0,2.50,0,0,5,12.50,0.00,0,10
586,0,5,2.50,0,0,7,0.00,37.00,20,0
599,5,0,2.50,0,0,4,9.50,0.00,0,10
622,0,5,2.50,0,0,8,0.00,34.50,20,0
635,6,0,3.00,0,0,4,16.00,0.00,0,10
658,0,5,2.50,0,0,6,0.00,41.00,20,0
671,6,0,3.00,0,0,4,13.00,0.00,0,10
694,0,5,2.50,0,0,7,0.00,35.50,20,0
707,5,0,2.50,0,0,4,11.00,0.00,0,10
730,0,5,2.50,0,0,7,0.00,38.00,20,0
