Step,Queue_West_East,Queue_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
0,0,0,0,0.0,0.0
1,1,0,2,3.0,0.0
2,0,0,1,0.0,0.0
3,4,0,2,3.75,0.0
4,0,4,1,0.0,5.25
5,6,0,3,5.333333333333333,0.0
6,0,5,8,0.0,14.0
7,5,0,4,5.6,0.0
8,0,5,8,0.0,15.0
9,5,0,4,5.2,0.0
10,0,5,6,0.0,16.0
11,4,0,4,5.25,0.0
12,0,5,2,0.0,6.0
13,5,0,4,3.8,0.0
14,0,5,7,0.0,14.0
15,4,0,4,6.0,0.0
16,0,5,2,0.0,6.0
17,5,0,4,5.0,0.0
18,0,5,8,0.0,15.2
19,6,0,4,4.5,0.0
20,0,5,7,0.0,14.8
21,5,0,4,4.8,0.0
22,0,5,7,0.0,17.6
23,5,0,4,5.0,0.0
24,0,5,7,0.0,16.2
25,5,0,4,4.2,0.0
26,0,5,7,0.0,14.6
27,4,0,5,5.0,0.0
28,0,5,3,0.0,5.8
29,5,0,4,5.2,0.0
30,0,5,8,0.0,14.8
31,5,0,4,5.2,0.0
32,0,5,8,0.0,14.6
33,5,0,4,5.2,0.0
34,0,5,8,0.0,16.2
35,5,0,4,5.4,0.0
36,0,5,8,0.0,15.6
37,5,0,3,4.6,0.0
38,0,5,8,0.0,14.2
39,5,0,3,5.0,0.0
40,0,5,8,0.0,16.0
41,6,0,4,4.833333333333333,0.0
42,0,5,8,0.0,15.4
43,6,0,4,4.166666666666667,0.0
44,0,5,7,0.0,15.6
45,5,0,4,4.2,0.0
46,0,5,7,0.0,17.2
47,5,0,4,4.8,0.0
48,0,5,7,0.0,16.2
49,5,0,4,4.8,0.0
50,0,5,8,0.0,15.8
51,5,0,4,4.8,0.0
52,0,5,8,0.0,14.8
53,5,0,4,5.2,0.0
54,0,5,8,0.0,15.4
55,6,0,4,4.833333333333333,0.0
56,0,5,9,0.0,15.4
57,5,0,4,5.4,0.0
58,0,5,6,0.0,16.4
59,5,0,4,4.6,0.0
60,0,5,8,0.0,15.0
61,4,0,4,4.5,0.0
62,0,4,2,0.0,5.25
63,6,0,4,4.5,0.0
64,0,4,7,0.0,15.25
65,5,0,4,5.0,0.0
66,0,0,7,0.0,0.0
67,5,0,2,4.4,0.0
68,0,0,7,0.0,0.0
69,5,0,2,5.4,0.0
70,0,0,7,0.0,0.0
71,4,0,2,6.0,0.0
72,0,0,1,0.0,0.0
73,6,0,2,5.333333333333333,0.0
74,0,0,6,0.0,0.0
75,5,0,2,3.4,0.0
76,0,0,6,0.0,0.0
77,5,0,2,5.0,0.0
78,0,0,7,0.0,0.0
79,4,0,2,5.5,0.0
80,0,0,1,0.0,0.0
81,6,0,1,4.833333333333333,0.0
82,0,0,7,0.0,0.0
83,5,0,2,4.2,0.0
84,0,0,6,0.0,0.0
85,4,0,2,5.0,0.0
86,0,0,1,0.0,0.0
87,5,0,2,5.4,0.0
88,0,0,7,0.0,0.0
89,5,0,2,4.6,0.0
90,0,0,7,0.0,0.0
91,5,0,2,4.4,0.0
92,0,0,7,0.0,0.0
93,4,0,1,6.25,0.0
94,0,0,1,0.0,0.0
95,6,0,1,6.0,0.0
96,0,0,7,0.0,0.0
97,5,0,2,5.8,0.0
98,0,0,7,0.0,0.0
99,5,0,2,5.2,0.0
100,0,0,7,0.0,0.0
101,4,0,2,6.0,0.0
102,0,0,1,0.0,0.0
103,0,0,1,0.0,0.0
