Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
10,0,1,0.50,0,0,1,0.00,0.50,10,0
23,5,0,2.50,0,0,3,12.00,0.00,0,10
46,0,5,2.50,0,0,7,0.00,32.00,20,0
59,6,0,3.00,0,0,4,13.50,0.00,0,10
82,0,5,2.50,0,0,7,0.00,37.00,20,0
95,5,0,2.50,0,0,4,12.50,0.00,0,10
118,0,5,2.50,0,0,8,0.00,37.50,20,0
131,5,0,2.50,0,0,5,10.50,0.00,0,10
154,0,5,2.50,0,0,6,0.00,42.00,20,0
167,4,0,2.00,0,0,4,10.50,0.00,0,10
180,0,5,2.50,0,0,2,0.00,13.00,10,0
193,6,0,3.00,0,0,3,16.50,0.00,0,10
216,0,5,2.50,0,0,8,0.00,42.00,20,0
229,5,0,2.50,0,0,3,14.00,0.00,0,10
252,0,5,2.50,0,0,8,0.00,39.00,20,0
265,5,0,2.50,0,0,4,12.00,0.00,0,10
288,0,5,2.50,0,0,7,0.00,37.00,20,0
301,6,0,3.00,0,0,4,14.00,0.00,0,10
324,0,5,2.50,0,0,8,0.00,41.50,20,0
337,6,0,3.00,0,0,3,15.50,0.00,0,10
360,0,5,2.50,0,0,7,0.00,42.00,20,0
373,5,0,2.50,0,0,4,14.50,0.00,0,10
396,0,5,2.50,0,0,8,0.00,36.00,20,0
409,4,0,2.00,0,0,4,11.00,0.00,0,10
422,0,5,2.50,0,0,3,0.00,13.50,10,0
435,5,0,2.50,0,0,4,13.50,0.00,0,10
458,0,5,2.50,0,0,8,0.00,43.50,20,0
471,6,0,3.00,0,0,4,14.00,0.00,0,10
494,0,5,2.50,0,0,7,0.00,38.50,20,0
507,5,0,2.50,0,0,4,12.00,0.00,0,10
530,0,5,2.50,0,0,8,0.00,40.50,20,0
543,5,0,2.50,0,0,4,13.00,0.00,0,10
566,0,5,2.50,0,0,7,0.00,41.00,20,0
579,6,0,3.00,0,0,4,14.00,0.00,0,10
602,0,5,2.50,0,0,8,0.00,45.00,20,0
615,6,0,3.00,0,0,4,13.50,0.00,0,10
638,0,5,2.50,0,0,8,0.00,38.50,20,0
651,4,0,2.00,0,0,4,8.50,0.00,0,10
664,0,5,2.50,0,0,2,0.00,13.00,10,0
677,6,0,3.00,0,0,3,18.50,0.00,0,10
700,0,5,2.50,0,0,8,0.00,35.50,20,0
713,5,0,2.50,0,0,4,14.00,0.00,0,10
736,0,5,2.50,0,0,7,0.00,39.00,20,0
749,5,0,2.50,0,0,4,11.00,0.00,0,10
772,0,5,2.50,0,0,8,0.00,39.50,20,0
785,6,0,3.00,0,0,3,14.00,0.00,0,10
808,0,5,2.50,0,0,8,0.00,39.50,20,0
821,4,0,2.00,0,0,4,10.50,0.00,0,10
834,0,5,2.50,0,0,2,0.00,13.00,10,0
847,5,0,2.50,0,0,4,13.00,0.00,0,10
870,0,5,2.50,0,0,7,0.00,41.50,20,0
883,6,0,3.00,0,0,4,14.00,0.00,0,10
906,0,5,2.50,0,0,7,0.00,37.50,20,0
919,5,0,2.50,0,0,4,13.00,0.00,0,10
942,0,5,2.50,0,0,8,0.00,36.50,20,0
955,5,0,2.50,0,0,4,11.50,0.00,0,10
978,0,5,2.50,0,0,8,0.00,35.50,20,0
991,5,0,2.50,0,0,4,12.00,0.00,0,10
1014,0,5,2.50,0,0,8,0.00,34.50,20,0
1027,5,0,2.50,0,0,4,11.00,0.00,0,10
1050,0,5,2.50,0,0,7,0.00,38.00,20,0
1063,6,0,3.00,0,0,4,13.50,0.00,0,10
1086,0,5,2.50,0,0,8,0.00,41.50,20,0
1099,6,0,3.00,0,0,4,16.50,0.00,0,10
1122,0,5,2.50,0,0,7,0.00,36.00,20,0
1135,5,0,2.50,0,0,4,12.00,0.00,0,10
1158,0,5,2.50,0,0,8,0.00,37.00,20,0
1171,4,0,2.00,0,0,3,10.50,0.00,0,10
1184,0,5,2.50,0,0,2,0.00,12.00,10,0
1197,5,0,2.50,0,0,4,11.00,0.00,0,10
1220,0,5,2.50,0,0,7,0.00,42.00,20,0
1233,5,0,2.50,0,0,4,11.00,0.00,0,10
1256,0,5,2.50,0,0,7,0.00,39.00,20,0
1269,4,0,2.00,0,0,4,10.50,0.00,0,10
1282,0,5,2.50,0,0,2,0.00,17.00,10,0
1295,5,0,2.50,0,0,4,11.50,0.00,0,10
1318,0,5,2.50,0,0,6,0.00,43.00,20,0
1331,5,0,2.50,0,0,4,12.00,0.00,0,10
1354,0,5,2.50,0,0,9,0.00,36.00,20,0
1367,5,0,2.50,0,0,4,12.50,0.00,0,10
1390,0,5,2.50,0,0,8,0.00,36.00,20,0
1403,5,0,2.50,0,0,3,12.50,0.00,0,10
1426,0,5,2.50,0,0,7,0.00,36.00,20,0
1439,5,0,2.50,0,0,4,11.00,0.00,0,10
1462,0,5,2.50,0,0,8,0.00,38.00,20,0
1475,6,0,3.00,0,0,4,14.00,0.00,0,10
1498,0,1,0.50,0,0,8,0.00,10.00,20,0
1511,5,0,2.50,0,0,2,13.00,0.00,0,10
1534,0,0,0.00,0,0,6,0.00,0.00,20,0
1547,5,0,2.50,0,0,2,12.00,0.00,0,10
1570,0,0,0.00,0,0,6,0.00,0.00,20,0
1583,6,0,3.00,0,0,1,17.00,0.00,0,10
1606,0,0,0.00,0,0,7,0.00,0.00,20,0
1619,5,0,2.50,0,0,2,12.00,0.00,0,10
1642,0,0,0.00,0,0,7,0.00,0.00,20,0
1655,5,0,2.50,0,0,2,10.50,0.00,0,10
1678,0,0,0.00,0,0,7,0.00,0.00,20,0
1691,6,0,3.00,0,0,2,17.00,0.00,0,10
1714,0,0,0.00,0,0,7,0.00,0.00,20,0
1727,5,0,2.50,0,0,2,10.50,0.00,0,10
1750,0,0,0.00,0,0,7,0.00,0.00,20,0
1763,6,0,3.00,0,0,2,16.00,0.00,0,10
1786,0,0,0.00,0,0,6,0.00,0.00,20,0
1799,5,0,2.50,0,0,2,10.00,0.00,0,10
1822,0,0,0.00,0,0,7,0.00,0.00,20,0
1835,5,0,2.50,0,0,2,14.50,0.00,0,10
1858,0,0,0.00,0,0,7,0.00,0.00,20,0
1871,4,0,2.00,0,0,2,11.50,0.00,0,10
1884,0,0,0.00,0,0,1,0.00,0.00,10,0
1897,6,0,3.00,0,0,2,14.50,0.00,0,10
1920,0,0,0.00,0,0,7,0.00,0.00,20,0
1933,6,0,3.00,0,0,2,14.50,0.00,0,10
1956,0,0,0.00,0,0,7,0.00,0.00,20,0
1969,5,0,2.50,0,0,1,13.00,0.00,0,10
1992,0,0,0.00,0,0,7,0.00,0.00,20,0
2005,5,0,2.50,0,0,2,12.50,0.00,0,10
2028,0,0,0.00,0,0,7,0.00,0.00,20,0
2041,5,0,2.50,0,0,2,12.00,0.00,0,10
2064,0,0,0.00,0,0,7,0.00,0.00,20,0
2077,5,0,2.50,0,0,2,12.00,0.00,0,10
2100,0,0,0.00,0,0,7,0.00,0.00,20,0
2113,5,0,2.50,0,0,1,13.50,0.00,0,10
2136,0,0,0.00,0,0,7,0.00,0.00,20,0
2149,6,0,3.00,0,0,1,14.50,0.00,0,10
2172,0,0,0.00,0,0,7,0.00,0.00,20,0
2185,5,0,2.50,0,0,2,13.50,0.00,0,10
2208,0,0,0.00,0,0,6,0.00,0.00,20,0
2221,5,0,2.50,0,0,2,11.00,0.00,0,10
