Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
10,0,0,0.00,0,0,0,0.00,0.00,10,0
23,4,0,2.00,0,0,4,11.50,0.00,0,10
36,0,4,2.00,0,0,2,0.00,12.00,10,0
49,5,0,2.50,0,0,5,12.50,0.00,0,10
72,0,5,2.50,0,0,7,0.00,39.00,20,0
85,5,0,2.50,0,0,4,10.50,0.00,0,10
108,0,5,2.50,0,0,8,0.00,39.00,20,0
121,5,0,2.50,0,0,3,12.50,0.00,0,10
144,0,5,2.50,0,0,7,0.00,41.50,20,0
157,5,0,2.50,0,0,4,11.00,0.00,0,10
180,0,5,2.50,0,0,8,0.00,37.00,20,0
193,6,0,3.00,0,0,3,17.00,0.00,0,10
216,0,5,2.50,0,0,8,0.00,39.50,20,0
229,6,0,3.00,0,0,4,13.00,0.00,0,10
252,0,5,2.50,0,0,8,0.00,38.00,20,0
265,5,0,2.50,0,0,4,13.00,0.00,0,10
288,0,5,2.50,0,0,8,0.00,39.00,20,0
301,5,0,2.50,0,0,4,11.50,0.00,0,10
324,0,5,2.50,0,0,7,0.00,44.00,20,0
337,5,0,2.50,0,0,4,14.50,0.00,0,10
360,0,5,2.50,0,0,8,0.00,38.00,20,0
373,5,0,2.50,0,0,4,12.00,0.00,0,10
396,0,5,2.50,0,0,8,0.00,39.00,20,0
409,5,0,2.50,0,0,4,12.50,0.00,0,10
432,0,5,2.50,0,0,7,0.00,37.50,20,0
445,5,0,2.50,0,0,5,10.00,0.00,0,10
468,0,5,2.50,0,0,7,0.00,40.50,20,0
481,5,0,2.50,0,0,4,11.00,0.00,0,10
504,0,5,2.50,0,0,8,0.00,38.00,20,0
517,5,0,2.50,0,0,4,10.00,0.00,0,10
540,0,5,2.50,0,0,7,0.00,40.00,20,0
553,5,0,2.50,0,0,4,11.00,0.00,0,10
