Step,Queue_West_East,Queue_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
192,0,5,1,0.0,6.6
193,0,0,2,0.0,0.0
194,0,5,0,0.0,6.4
195,0,0,2,0.0,0.0
196,0,5,1,0.0,4.4
197,0,0,2,0.0,0.0
198,0,5,0,0.0,7.6
199,0,0,2,0.0,0.0
200,0,5,1,0.0,7.4
201,0,0,2,0.0,0.0
202,0,5,1,0.0,6.2
203,0,0,2,0.0,0.0
204,0,5,1,0.0,6.4
205,0,0,2,0.0,0.0
206,0,5,2,0.0,5.2
207,0,0,2,0.0,0.0
208,0,5,0,0.0,8.0
209,0,0,2,0.0,0.0
210,0,4,1,0.0,5.25
211,0,0,3,0.0,0.0
212,0,5,1,0.0,5.0
213,0,0,2,0.0,0.0
214,0,5,1,0.0,4.6
215,0,0,2,0.0,0.0
216,0,4,1,0.0,5.5
217,0,0,2,0.0,0.0
218,0,5,1,0.0,5.6
219,0,0,2,0.0,0.0
220,0,5,1,0.0,4.4
221,0,0,2,0.0,0.0
222,0,5,1,0.0,5.4
223,0,0,2,0.0,0.0
224,0,5,1,0.0,5.2
225,0,0,2,0.0,0.0
226,0,5,1,0.0,4.4
227,0,0,2,0.0,0.0
228,0,5,1,0.0,5.2
229,0,0,2,0.0,0.0
230,0,5,1,0.0,5.4
231,0,0,2,0.0,0.0
232,0,5,1,0.0,5.2
233,0,0,2,0.0,0.0
234,0,5,0,0.0,6.8
235,0,0,2,0.0,0.0
236,0,5,1,0.0,6.6
237,0,0,2,0.0,0.0
238,0,5,1,0.0,6.6
239,0,0,2,0.0,0.0
240,0,5,2,0.0,4.6
241,0,0,2,0.0,0.0
242,0,5,1,0.0,7.2
243,0,0,2,0.0,0.0
244,0,5,1,0.0,3.8
245,0,0,2,0.0,0.0
246,0,5,1,0.0,7.2
247,0,0,2,0.0,0.0
248,0,5,2,0.0,5.0
249,0,0,2,0.0,0.0
250,0,5,0,0.0,6.0
251,0,0,2,0.0,0.0
252,0,5,1,0.0,5.0
253,0,0,2,0.0,0.0
254,0,5,1,0.0,4.6
255,0,0,2,0.0,0.0
256,0,5,1,0.0,6.0
257,0,0,2,0.0,0.0
258,0,3,1,0.0,7.333333333333333
259,0,0,2,0.0,0.0
