step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
0,46.0,46,10.00,0.00,32.00,30,10,5,0,5,12,0.2609,0.9021,0.4444,0.2609,0.0,0.6182
1,112.0,66,32.00,0.00,188.00,30,30,7,0,7,22,0.3333,0.4251,0.2222,0.3333,0.0,0.3570
2,148.0,36,12.00,0.00,46.00,20,10,7,0,7,14,0.3889,0.8593,0.2222,0.3889,0.0,0.5908
3,184.0,36,13.00,0.00,49.00,20,10,7,0,7,15,0.4167,0.8502,0.2222,0.4167,0.0,0.5945
4,220.0,36,13.00,1.00,51.00,20,10,7,1,8,14,0.3889,0.8440,0.1111,0.3889,0.0,0.5609
5,256.0,36,11.00,1.00,43.00,20,10,7,1,8,13,0.3611,0.8685,0.1111,0.3611,0.0,0.5648
6,292.0,36,13.00,0.00,45.00,20,10,7,0,7,15,0.4167,0.8624,0.2222,0.4167,0.0,0.6006
7,328.0,36,11.00,0.00,40.00,20,10,7,0,7,16,0.4444,0.8777,0.2222,0.4444,0.0,0.6166
8,364.0,36,12.00,0.00,49.00,20,10,7,0,7,15,0.4167,0.8502,0.2222,0.4167,0.0,0.5945
9,400.0,36,11.00,0.00,40.00,20,10,6,0,6,15,0.4167,0.8777,0.3333,0.4167,0.0,0.6305
10,436.0,36,10.00,0.00,38.00,20,10,6,0,6,14,0.3889,0.8838,0.3333,0.3889,0.0,0.6252
11,472.0,36,13.00,0.00,52.00,20,10,7,0,7,15,0.4167,0.8410,0.2222,0.4167,0.0,0.5899
12,508.0,36,11.00,0.00,42.00,20,10,6,0,6,15,0.4167,0.8716,0.3333,0.4167,0.0,0.6274
13,544.0,36,10.00,0.00,36.00,20,10,7,0,7,15,0.4167,0.8899,0.2222,0.4167,0.0,0.6144
14,580.0,36,13.00,2.00,51.00,20,10,7,1,8,15,0.4167,0.8440,0.1111,0.4167,0.0,0.5692
15,616.0,36,11.00,0.00,42.00,20,10,7,0,7,14,0.3889,0.8716,0.2222,0.3889,0.0,0.5969
16,652.0,36,12.00,1.00,43.00,20,10,7,1,8,15,0.4167,0.8685,0.1111,0.4167,0.0,0.5815
17,688.0,36,14.00,0.00,62.00,20,10,7,0,7,14,0.3889,0.8104,0.2222,0.3889,0.0,0.5663
18,724.0,36,10.00,0.00,30.00,20,10,6,0,6,15,0.4167,0.9083,0.3333,0.4167,0.0,0.6458
19,760.0,36,12.00,0.00,47.00,20,10,7,0,7,15,0.4167,0.8563,0.2222,0.4167,0.0,0.5976
