decision_step,sim_time,state,chosen_action_id,we_green_time,ns_green_time,active_phase,we_queue_length,ns_queue_length,we_max_wait,ns_max_wait,total_waiting_time
29,1117,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,41.0
30,1140,High*Low*NoStarvation,1,20,10,WE_GREEN,6,1,11.0,2.0,39.0
30,1153,High*Low*NoStarvation,1,20,10,NS_GREEN,6,1,11.0,2.0,39.0
31,1176,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,48.0
31,1189,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,48.0
32,1212,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,10.0,0.0,38.0
32,1225,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,10.0,0.0,38.0
33,1248,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,42.0
33,1261,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,42.0
34,1284,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,50.0
34,1297,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,50.0
35,1320,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,49.0
35,1333,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,49.0
36,1356,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,43.0
36,1369,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,43.0
37,1392,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,40.0
37,1405,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,40.0
38,1428,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,48.0
38,1441,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,48.0
39,1464,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,41.0
39,1477,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,41.0
40,1500,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,40.0
40,1513,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,40.0
41,1536,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,10.0,0.0,34.0
41,1549,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,10.0,0.0,34.0
42,1572,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,40.0
42,1585,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,40.0
43,1608,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,46.0
43,1621,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,46.0
44,1644,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,11.0,0.0,36.0
44,1657,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,11.0,0.0,36.0
45,1680,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,41.0
45,1693,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,41.0
46,1716,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,10.0,0.0,37.0
46,1729,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,10.0,0.0,37.0
47,1752,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,46.0
47,1765,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,46.0
48,1788,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,35.0
48,1801,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,35.0
49,1824,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,10.0,0.0,39.0
49,1837,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,10.0,0.0,39.0
50,1860,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,11.0,1.0,44.0
50,1873,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,11.0,1.0,44.0
51,1896,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,12.0,1.0,51.0
51,1909,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,12.0,1.0,51.0
52,1932,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,36.0
52,1945,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,36.0
53,1968,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,42.0
53,1981,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,42.0
54,2004,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,41.0
54,2017,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,41.0
55,2040,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,12.0,1.0,41.0
55,2053,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,12.0,1.0,41.0
56,2076,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,49.0
56,2089,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,49.0
57,2112,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,11.0,1.0,43.0
57,2125,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,11.0,1.0,43.0
58,2148,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,54.0
58,2161,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,54.0
59,2184,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,10.0,0.0,37.0
59,2197,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,10.0,0.0,37.0
60,2220,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,45.0
60,2233,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,45.0
61,2256,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,11.0,0.0,38.0
61,2269,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,11.0,0.0,38.0
