Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
46,2,1,0.50,0,0,6,4.50,0.50,30,10
92,3,0,1.50,0,0,16,6.00,0.00,30,10
158,7,0,3.50,0,0,10,10.50,0.00,30,30
194,1,0,0.50,0,0,10,1.00,0.00,20,10
240,3,0,1.50,0,0,7,5.00,0.00,30,10
306,7,0,3.50,0,0,9,12.00,0.00,30,30
342,1,0,0.50,0,0,13,2.00,0.00,20,10
388,0,0,0.00,0,0,7,0.00,0.00,30,10
434,0,0,0.00,0,0,6,0.00,0.00,30,10
480,1,0,0.50,0,0,9,5.50,0.00,30,10
526,0,0,0.00,0,0,14,0.00,0.00,30,10
572,0,0,0.00,0,0,4,0.00,0.00,30,10
618,1,0,0.50,0,0,7,4.50,0.00,30,10
664,0,0,0.00,0,0,9,0.00,0.00,30,10
710,0,0,0.00,0,0,6,0.00,0.00,30,10
756,1,0,0.50,0,0,5,1.00,0.00,30,10
802,2,0,1.00,0,0,11,5.00,0.00,30,10
848,2,0,1.00,0,0,7,3.50,0.00,30,10
894,2,0,1.00,0,0,11,1.50,0.00,30,10
940,3,0,1.50,0,0,15,6.00,0.00,30,10
1006,7,0,3.50,0,0,9,11.00,0.00,30,30
