Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
10,0,0,0.00,0,0,0,0.00,0.00,10,0
23,2,0,1.00,0,0,0,1.50,0.00,0,10
36,0,2,1.00,0,0,1,0.00,1.00,10,0
49,3,0,1.50,0,0,4,5.50,0.00,0,10
62,0,1,0.50,0,0,2,0.00,4.00,10,0
75,3,0,1.50,0,0,2,5.50,0.00,0,10
88,0,0,0.00,0,0,1,0.00,0.00,10,0
101,2,0,1.00,0,0,3,5.50,0.00,0,10
114,0,0,0.00,0,0,1,0.00,0.00,10,0
127,0,0,0.00,0,0,3,0.00,0.00,0,10
140,0,1,0.50,0,0,0,0.00,1.50,10,0
153,0,0,0.00,0,0,3,0.00,0.00,0,10
166,0,4,2.00,0,0,1,0.00,11.50,10,0
179,1,0,0.50,0,0,2,1.50,0.00,0,10
192,0,0,0.00,0,0,2,0.00,0.00,10,0
205,4,0,2.00,0,0,2,11.00,0.00,0,10
218,0,1,0.50,0,0,1,0.00,2.50,10,0
231,1,0,0.50,0,0,3,4.50,0.00,0,10
244,0,1,0.50,0,0,1,0.00,2.50,10,0
257,0,0,0.00,0,0,2,0.00,0.00,0,10
270,0,2,1.00,0,0,0,0.00,4.00,10,0
283,1,0,0.50,0,0,2,4.00,0.00,0,10
296,0,0,0.00,0,0,1,0.00,0.00,10,0
309,1,0,0.50,0,0,1,1.50,0.00,0,10
322,0,0,0.00,0,0,2,0.00,0.00,10,0
335,0,0,0.00,0,0,3,0.00,0.00,0,10
348,0,0,0.00,0,0,1,0.00,0.00,10,0
361,1,0,0.50,0,0,2,3.00,0.00,0,10
374,0,1,0.50,0,0,2,0.00,1.00,10,0
387,1,0,0.50,0,0,2,1.00,0.00,0,10
400,0,1,0.50,0,0,1,0.00,4.00,10,0
413,0,0,0.00,0,0,2,0.00,0.00,0,10
426,0,1,0.50,0,0,0,0.00,1.00,10,0
439,1,0,0.50,0,0,3,2.00,0.00,0,10
452,0,0,0.00,0,0,1,0.00,0.00,10,0
465,3,0,1.50,0,0,1,10.00,0.00,0,10
478,0,1,0.50,0,0,1,0.00,3.00,10,0
491,2,0,1.00,0,0,4,7.00,0.00,0,10
504,0,0,0.00,0,0,2,0.00,0.00,10,0
517,1,0,0.50,0,0,2,2.50,0.00,0,10
530,0,1,0.50,0,0,1,0.00,2.00,10,0
543,1,0,0.50,0,0,3,1.00,0.00,0,10
556,0,0,0.00,0,0,1,0.00,0.00,10,0
569,1,0,0.50,0,0,0,1.00,0.00,0,10
582,0,0,0.00,0,0,1,0.00,0.00,10,0
595,2,0,1.00,0,0,1,10.00,0.00,0,10
608,0,0,0.00,0,0,2,0.00,0.00,10,0
621,1,0,0.50,0,0,2,0.50,0.00,0,10
634,0,1,0.50,0,0,1,0.00,2.50,10,0
647,0,0,0.00,0,0,2,0.00,0.00,0,10
660,0,0,0.00,0,0,1,0.00,0.00,10,0
673,1,0,0.50,0,0,1,3.50,0.00,0,10
686,0,2,1.00,0,0,2,0.00,4.00,10,0
699,0,0,0.00,0,0,3,0.00,0.00,0,10
712,0,1,0.50,0,0,0,0.00,3.00,10,0
725,1,0,0.50,0,0,1,1.50,0.00,0,10
738,0,0,0.00,0,0,1,0.00,0.00,10,0
751,1,0,0.50,0,0,3,3.00,0.00,0,10
764,0,2,1.00,0,0,3,0.00,6.00,10,0
777,0,0,0.00,0,0,3,0.00,0.00,0,10
790,0,1,0.50,0,0,3,0.00,5.00,10,0
803,3,0,1.50,0,0,3,9.00,0.00,0,10
816,0,0,0.00,0,0,1,0.00,0.00,10,0
829,3,0,1.50,0,0,1,5.50,0.00,0,10
842,0,1,0.50,0,0,1,0.00,1.00,10,0
855,1,0,0.50,0,0,2,4.50,0.00,0,10
868,0,0,0.00,0,0,1,0.00,0.00,10,0
881,0,0,0.00,0,0,3,0.00,0.00,0,10
894,0,0,0.00,0,0,0,0.00,0.00,10,0
907,2,0,1.00,0,0,1,7.00,0.00,0,10
920,0,2,1.00,0,0,1,0.00,4.00,10,0
933,1,0,0.50,0,0,2,1.50,0.00,0,10
946,0,1,0.50,0,0,3,0.00,2.50,10,0
959,0,0,0.00,0,0,2,0.00,0.00,0,10
972,0,1,0.50,0,0,0,0.00,3.00,10,0
985,4,0,2.00,0,0,2,8.50,0.00,0,10
998,0,5,2.50,0,0,1,0.00,15.50,10,0
1011,2,0,1.00,0,0,4,6.00,0.00,0,10
1024,0,4,2.00,0,0,2,0.00,11.50,10,0
1037,0,0,0.00,0,0,2,0.00,0.00,0,10
