step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
50,1846.0,36,10.00,0.00,39.00,20,10,7,0,7,14,0.3889,0.8807,0.2222,0.3889,0.0,0.6015
51,1882.0,36,13.00,2.00,53.00,20,10,7,1,8,15,0.4167,0.8379,0.1111,0.4167,0.0,0.5662
52,1918.0,36,11.00,0.00,41.00,20,10,7,0,7,13,0.3611,0.8746,0.2222,0.3611,0.0,0.5901
53,1954.0,36,12.00,0.00,44.00,20,10,7,0,7,15,0.4167,0.8654,0.2222,0.4167,0.0,0.6022
54,1990.0,36,13.00,0.00,50.00,20,10,7,0,7,15,0.4167,0.8471,0.2222,0.4167,0.0,0.5930
55,2026.0,36,11.00,0.00,45.00,20,10,7,0,7,15,0.4167,0.8624,0.2222,0.4167,0.0,0.6006
56,2062.0,36,12.00,0.00,39.00,20,10,7,0,7,15,0.4167,0.8807,0.2222,0.4167,0.0,0.6098
57,2098.0,36,13.00,0.00,47.00,20,10,7,0,7,13,0.3611,0.8563,0.2222,0.3611,0.0,0.5809
58,2134.0,36,11.00,0.00,40.00,20,10,6,0,6,15,0.4167,0.8777,0.3333,0.4167,0.0,0.6305
59,2170.0,36,11.00,0.00,19.00,20,10,2,0,2,15,0.4167,0.9419,0.7778,0.4167,0.0,0.7515
60,2216.0,46,0.00,0.00,0.00,30,10,0,0,0,7,0.1522,1.0000,1.0000,0.1522,0.0,0.7457
61,2262.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
62,2308.0,46,0.00,1.00,1.00,30,10,0,1,1,5,0.1087,0.9969,0.8889,0.1087,0.0,0.7089
63,2354.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
64,2400.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
65,2446.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
66,2492.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
67,2538.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
68,2584.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
69,2630.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
70,2676.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
71,2722.0,46,0.00,2.00,2.00,30,10,0,1,1,5,0.1087,0.9939,0.8889,0.1087,0.0,0.7073
72,2768.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
73,2814.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
74,2860.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
75,2906.0,46,0.00,0.00,0.00,30,10,0,0,0,6,0.1304,1.0000,1.0000,0.1304,0.0,0.7391
