Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
10,0,0,0.00,0,0,0,0.00,0.00,10,0
23,3,0,1.50,0,0,1,5.50,0.00,0,10
36,0,1,0.50,0,0,1,0.00,3.00,10,0
49,2,0,1.00,0,0,4,5.00,0.00,0,10
62,0,0,0.00,0,0,1,0.00,0.00,10,0
75,2,0,1.00,0,0,2,3.50,0.00,0,10
88,0,2,1.00,0,0,1,0.00,3.00,10,0
101,2,0,1.00,0,0,3,6.00,0.00,0,10
114,0,1,0.50,0,0,1,0.00,1.00,10,0
127,6,0,3.00,0,0,4,15.50,0.00,0,10
150,0,5,2.50,0,0,7,0.00,23.50,20,0
163,3,0,1.50,0,0,4,7.50,0.00,0,10
176,0,5,2.50,0,0,2,0.00,17.00,10,0
189,1,0,0.50,0,0,4,1.00,0.00,0,10
202,0,5,2.50,0,0,2,0.00,12.50,10,0
215,2,0,1.00,0,0,4,6.00,0.00,0,10
228,0,5,2.50,0,0,3,0.00,13.50,10,0
241,3,0,1.50,0,0,4,8.00,0.00,0,10
254,0,5,2.50,0,0,2,0.00,10.00,10,0
267,3,0,1.50,0,0,4,9.50,0.00,0,10
280,0,4,2.00,0,0,1,0.00,11.00,10,0
293,5,0,2.50,0,0,4,13.00,0.00,0,10
316,0,5,2.50,0,0,8,0.00,35.00,20,0
329,4,0,2.00,0,0,4,12.00,0.00,0,10
342,0,5,2.50,0,0,1,0.00,17.50,10,0
355,4,0,2.00,0,0,4,11.00,0.00,0,10
368,0,5,2.50,0,0,2,0.00,16.50,10,0
381,3,0,1.50,0,0,4,6.50,0.00,0,10
394,0,5,2.50,0,0,2,0.00,16.00,10,0
407,2,0,1.00,0,0,4,5.00,0.00,0,10
420,0,5,2.50,0,0,2,0.00,12.00,10,0
433,0,0,0.00,0,0,4,0.00,0.00,0,10
446,0,5,2.50,0,0,2,0.00,14.50,10,0
459,2,0,1.00,0,0,2,4.50,0.00,0,10
472,0,5,2.50,0,0,2,0.00,17.00,10,0
485,1,0,0.50,0,0,4,4.00,0.00,0,10
498,0,5,2.50,0,0,3,0.00,11.00,10,0
511,2,0,1.00,0,0,4,5.50,0.00,0,10
524,0,5,2.50,0,0,2,0.00,12.50,10,0
537,3,0,1.50,0,0,3,10.00,0.00,0,10
550,0,5,2.50,0,0,2,0.00,17.00,10,0
563,1,0,0.50,0,0,4,1.00,0.00,0,10
576,0,5,2.50,0,0,2,0.00,16.00,10,0
589,6,0,3.00,0,0,3,17.00,0.00,0,10
612,0,5,2.50,0,0,8,0.00,37.50,20,0
625,5,0,2.50,0,0,4,12.50,0.00,0,10
648,0,5,2.50,0,0,8,0.00,37.50,20,0
661,1,0,0.50,0,0,4,1.00,0.00,0,10
674,0,5,2.50,0,0,3,0.00,12.00,10,0
687,0,0,0.00,0,0,3,0.00,0.00,0,10
700,0,5,2.50,0,0,4,0.00,13.50,10,0
713,3,0,1.50,0,0,2,5.50,0.00,0,10
726,0,5,2.50,0,0,1,0.00,16.00,10,0
739,4,0,2.00,0,0,4,10.50,0.00,0,10
752,0,5,2.50,0,0,2,0.00,13.00,10,0
765,6,0,3.00,0,0,4,15.50,0.00,0,10
788,0,5,2.50,0,0,8,0.00,37.50,20,0
801,4,0,2.00,0,0,4,8.50,0.00,0,10
814,0,5,2.50,0,0,3,0.00,11.50,10,0
827,6,0,3.00,0,0,4,15.00,0.00,0,10
850,0,5,2.50,0,0,7,0.00,45.00,20,0
863,0,0,0.00,0,0,3,0.00,0.00,0,10
876,0,5,2.50,0,0,2,0.00,13.00,10,0
889,1,0,0.50,0,0,4,2.50,0.00,0,10
902,0,5,2.50,0,0,1,0.00,17.00,10,0
915,5,0,2.50,0,0,3,17.50,0.00,0,10
938,0,5,2.50,0,0,8,0.00,41.00,20,0
951,4,0,2.00,0,0,4,14.50,0.00,0,10
964,0,5,2.50,0,0,3,0.00,15.50,10,0
977,4,0,2.00,0,0,3,11.50,0.00,0,10
990,0,5,2.50,0,0,2,0.00,13.00,10,0
1003,6,0,3.00,0,0,4,14.50,0.00,0,10
1026,0,5,2.50,0,0,8,0.00,37.50,20,0
1039,0,0,0.00,0,0,2,0.00,0.00,0,10
1052,0,5,2.50,0,0,0,0.00,15.00,10,0
1065,0,0,0.00,0,0,2,0.00,0.00,0,10
1078,0,5,2.50,0,0,1,0.00,11.00,10,0
1091,0,0,0.00,0,0,2,0.00,0.00,0,10
1104,0,5,2.50,0,0,1,0.00,16.50,10,0
1117,0,0,0.00,0,0,2,0.00,0.00,0,10
1130,0,5,2.50,0,0,1,0.00,13.00,10,0
1143,0,0,0.00,0,0,2,0.00,0.00,0,10
1156,0,5,2.50,0,0,0,0.00,17.50,10,0
1169,0,0,0.00,0,0,2,0.00,0.00,0,10
1182,0,5,2.50,0,0,0,0.00,17.50,10,0
1195,0,0,0.00,0,0,2,0.00,0.00,0,10
1208,0,5,2.50,0,0,1,0.00,11.00,10,0
1221,0,0,0.00,0,0,2,0.00,0.00,0,10
1234,0,5,2.50,0,0,1,0.00,9.50,10,0
1247,0,0,0.00,0,0,2,0.00,0.00,0,10
1260,0,5,2.50,0,0,1,0.00,11.50,10,0
1273,0,0,0.00,0,0,2,0.00,0.00,0,10
