Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
1,0,0,0.0,0,0,0,0.0,0.0
2,0,0,0.0,0,0,0,0.0,0.0
3,0,0,0.0,0,0,0,0.0,0.0
4,0,0,0.0,0,0,0,0.0,0.0
5,0,0,0.0,0,0,0,0.0,0.0
6,0,0,0.0,0,0,0,0.0,0.0
7,0,0,0.0,0,0,0,0.0,0.0
8,0,0,0.0,0,0,0,0.0,0.0
9,0,1,0.5,0,0,0,0.0,1.0
10,0,2,1.0,0,0,0,0.0,3.0
11,0,2,1.0,0,0,0,0.0,5.0
12,0,3,1.5,0,0,1,0.0,8.0
13,0,3,1.5,0,0,0,0.0,11.0
14,1,3,1.0,0,0,1,1.0,9.0
15,1,3,1.0,0,0,0,2.0,7.0
16,2,2,0.0,0,0,0,4.0,5.0
17,2,1,0.5,0,0,0,6.0,3.0
18,2,0,1.0,0,0,0,8.0,0.0
19,3,0,1.5,0,0,0,11.0,0.0
20,3,0,1.5,0,0,1,14.0,0.0
21,4,0,2.0,0,0,0,18.0,0.0
22,5,0,2.5,0,0,1,23.0,0.0
23,5,0,2.5,0,0,0,28.0,0.0
24,6,0,3.0,0,0,1,34.0,0.0
25,6,0,3.0,0,0,0,40.0,0.0
26,7,1,3.0,0,0,1,47.0,1.0
27,6,1,2.5,0,0,0,40.0,2.0
28,5,1,2.0,0,0,0,33.0,3.0
29,4,2,1.0,0,0,0,27.0,5.0
30,3,2,0.5,0,0,0,21.0,7.0
31,2,3,0.5,0,0,0,14.0,10.0
32,1,4,1.5,0,0,0,7.0,14.0
33,0,4,2.0,0,0,0,0.0,18.0
34,0,5,2.5,0,0,0,0.0,23.0
35,0,5,2.5,0,0,1,0.0,28.0
36,0,5,2.5,0,0,0,0.0,33.0
37,0,5,2.5,0,0,1,0.0,38.0
38,0,5,2.5,0,0,0,0.0,43.0
39,0,5,2.5,0,0,1,0.0,48.0
40,0,4,2.0,0,0,0,0.0,38.0
41,0,3,1.5,0,0,1,0.0,29.0
42,1,2,0.5,0,0,1,1.0,20.0
