episode,scenario,total_reward,avg_queue,avg_wait,total_throughput
5,route_we_100_ns_1200.rou.xml,19.46732342467198,1.5945945945945945,32.189189189189186,93
21,route_we_1200_ns_100.rou.xml,79.61692784210167,3.2151898734177213,32.41139240506329,1090
30,route_we_100_ns_1200.rou.xml,42.030643371854886,0.9836065573770492,8.885245901639344,102
46,route_we_1200_ns_100.rou.xml,140.84109184426964,2.84688995215311,19.913875598086126,1030
55,route_we_100_ns_1200.rou.xml,49.57436333940805,0.8591549295774648,7.605633802816901,106
71,route_we_1200_ns_100.rou.xml,140.01310096722216,2.791044776119403,17.303482587064675,1029
80,route_we_100_ns_1200.rou.xml,55.14513242467566,0.9078947368421053,6.868421052631579,100
96,route_we_1200_ns_100.rou.xml,144.5822668063483,2.824644549763033,18.981042654028435,1029
5,route_we_100_ns_1200.rou.xml,18.697235287056532,1.236842105263158,22.657894736842106,98
21,route_we_1200_ns_100.rou.xml,59.47171048084658,3.3473053892215567,46.02395209580838,1086
30,route_we_100_ns_1200.rou.xml,35.84401515399527,1.0714285714285714,13.696428571428571,102
46,route_we_1200_ns_100.rou.xml,88.2612301799492,3.2446043165467624,26.280575539568346,1088
55,route_we_100_ns_1200.rou.xml,47.25328924633793,0.8529411764705882,8.647058823529411,106
71,route_we_1200_ns_100.rou.xml,146.34918882838446,2.7941176470588234,16.524509803921568,1030
80,route_we_100_ns_1200.rou.xml,52.5011307295816,0.8333333333333334,5.736111111111111,101
96,route_we_1200_ns_100.rou.xml,88.86657172684981,3.3065693430656933,24.525547445255473,1092
105,route_we_100_ns_1200.rou.xml,56.74384237080366,0.8717948717948718,6.910256410256411,107
121,route_we_1200_ns_100.rou.xml,152.0682691853,2.761904761904762,16.15714285714286,1027
130,route_we_100_ns_1200.rou.xml,55.209496164213185,1.0526315789473684,8.0,105
146,route_we_1200_ns_100.rou.xml,150.29069626169928,2.8755760368663594,18.72811059907834,1024
155,route_we_100_ns_1200.rou.xml,52.51131857219249,0.8888888888888888,6.805555555555555,104
171,route_we_1200_ns_100.rou.xml,137.2844567878332,2.876777251184834,21.554502369668246,1022
