Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
130,7,0,3.5,0,1,1,12.86,0.0
131,7,0,3.5,0,0,0,13.86,0.0
132,7,0,3.5,0,1,1,14.86,0.0
133,7,0,3.5,0,0,0,15.86,0.0
134,7,0,3.5,0,1,1,16.86,0.0
135,7,0,3.5,0,0,0,17.86,0.0
136,7,0,3.5,0,1,1,18.86,0.0
137,7,0,3.5,0,0,0,19.86,0.0
138,7,0,3.5,0,1,1,20.86,0.0
139,7,0,3.5,0,0,1,21.86,0.0
140,7,0,3.5,0,1,0,22.86,0.0
141,7,0,3.5,0,0,1,23.86,0.0
142,7,0,3.5,0,1,0,24.86,0.0
143,7,0,3.5,0,1,1,25.86,0.0
144,7,0,3.5,0,0,0,26.86,0.0
145,6,0,3.0,0,1,1,27.0,0.0
146,5,1,2.0,0,0,0,22.67,0.25
147,4,1,1.5,0,0,0,18.33,0.5
148,3,2,0.5,0,1,0,16.6,0.8
149,2,2,0.0,0,0,0,11.2,1.2
150,1,3,1.0,0,0,0,7.0,1.8
151,0,3,1.5,0,0,0,0.0,2.4
152,0,3,1.5,0,0,0,0.0,3.0
153,0,5,2.5,0,0,1,0.0,4.0
154,0,5,2.5,0,0,0,0.0,5.0
155,0,5,2.5,1,0,1,0.0,6.0
156,0,5,2.5,0,0,0,0.0,7.0
157,0,5,2.5,0,0,1,0.0,8.0
158,0,5,2.5,1,0,1,0.0,9.0
159,0,5,2.5,0,0,0,0.0,10.0
160,0,5,2.5,1,0,1,0.0,11.0
161,0,5,2.5,0,0,0,0.0,12.0
162,0,5,2.5,1,0,1,0.0,13.0
163,0,5,2.5,0,0,0,0.0,14.0
164,0,5,2.5,1,0,1,0.0,15.0
165,0,5,2.5,0,0,0,0.0,16.0
166,0,5,2.5,1,0,1,0.0,17.0
167,0,5,2.5,0,0,1,0.0,18.0
168,0,5,2.5,1,0,0,0.0,19.0
169,0,5,2.5,0,0,1,0.0,20.0
170,0,5,2.5,1,0,0,0.0,21.0
171,0,5,2.5,0,0,1,0.0,22.0
172,0,5,2.5,1,0,0,0.0,23.0
173,0,5,2.5,0,0,0,0.0,24.0
174,0,5,2.5,1,0,0,0.0,25.0
175,0,5,2.5,0,0,1,0.0,26.0
176,0,5,2.5,1,0,0,0.0,27.0
177,0,5,2.5,1,0,1,0.0,28.0
178,0,4,2.0,0,0,1,0.0,28.0
179,1,3,1.0,1,0,0,0.2,21.0
180,1,2,0.5,0,0,1,0.4,14.0
181,1,1,0.0,1,0,0,0.5,9.67
182,2,0,1.0,0,0,0,0.83,0.0
183,3,0,1.5,0,0,0,1.33,0.0
184,3,0,1.5,0,0,1,1.83,0.0
185,3,0,1.5,1,1,0,2.0,0.0
186,4,0,2.0,0,0,1,2.57,0.0
187,5,0,2.5,0,1,0,3.29,0.0
188,5,0,2.5,0,0,1,4.0,0.0
189,5,0,2.5,0,0,0,4.71,0.0
190,6,0,3.0,0,1,1,5.57,0.0
191,7,0,3.5,0,0,0,6.57,0.0
192,7,0,3.5,0,1,1,7.57,0.0
193,7,0,3.5,0,0,1,8.57,0.0
194,7,0,3.5,0,1,0,9.57,0.0
195,7,0,3.5,0,0,1,10.57,0.0
196,7,0,3.5,0,1,0,11.57,0.0
197,7,0,3.5,0,0,1,12.57,0.0
198,7,0,3.5,0,1,0,13.57,0.0
199,7,0,3.5,0,0,1,14.57,0.0
200,7,0,3.5,0,1,0,15.57,0.0
201,7,0,3.5,0,0,1,16.57,0.0
202,7,0,3.5,0,1,0,17.57,0.0
203,7,0,3.5,0,0,1,18.57,0.0
204,7,0,3.5,0,1,0,19.57,0.0
205,7,0,3.5,0,0,1,20.57,0.0
206,7,0,3.5,0,1,0,21.57,0.0
207,7,0,3.5,0,0,1,22.57,0.0
208,7,0,3.5,0,1,0,23.57,0.0
209,7,0,3.5,0,1,1,24.57,0.0
210,7,0,3.5,0,1,0,25.57,0.0
211,6,0,3.0,0,0,1,25.5,0.0
212,5,0,2.5,0,0,0,21.33,0.0
213,4,1,1.5,0,1,0,17.0,0.2
214,3,2,0.5,0,0,0,15.4,0.6
215,2,2,0.0,0,0,0,10.2,1.0
216,1,3,1.0,0,0,0,6.5,1.6
217,0,3,1.5,0,0,0,0.0,2.2
218,0,4,2.0,0,0,0,0.0,3.0
219,0,5,2.5,0,0,1,0.0,4.0
220,0,5,2.5,0,0,1,0.0,5.0
221,0,5,2.5,1,0,0,0.0,6.0
222,0,5,2.5,0,0,0,0.0,7.0
223,0,5,2.5,0,0,1,0.0,8.0
224,0,5,2.5,1,0,0,0.0,9.0
225,0,5,2.5,0,0,1,0.0,10.0
226,0,5,2.5,1,0,1,0.0,11.0
227,0,5,2.5,0,0,0,0.0,12.0
228,0,5,2.5,1,0,0,0.0,13.0
229,0,5,2.5,0,0,1,0.0,14.0
230,0,5,2.5,1,0,1,0.0,15.0
231,0,5,2.5,0,0,0,0.0,16.0
232,0,5,2.5,1,0,1,0.0,17.0
233,0,5,2.5,0,0,0,0.0,18.0
234,0,5,2.5,1,0,1,0.0,19.0
235,0,5,2.5,0,0,0,0.0,20.0
236,0,5,2.5,1,0,1,0.0,21.0
237,0,5,2.5,0,0,0,0.0,22.0
238,0,5,2.5,1,0,1,0.0,23.0
239,0,5,2.5,0,0,1,0.0,24.0
240,0,5,2.5,1,0,0,0.0,25.0
241,0,5,2.5,0,0,1,0.0,26.0
242,0,5,2.5,1,0,0,0.0,27.0
243,0,5,2.5,1,0,1,0.0,28.0
244,0,4,2.0,0,0,0,0.0,28.25
245,0,3,1.5,1,0,1,0.0,21.25
246,1,2,0.5,0,0,0,0.2,14.25
247,2,1,0.5,1,0,0,0.5,9.67
248,2,0,1.0,0,0,0,0.83,0.0
249,3,0,1.5,0,0,0,1.33,0.0
250,3,0,1.5,1,0,1,1.57,0.0
251,4,0,2.0,0,1,0,2.14,0.0
252,4,0,2.0,0,0,1,2.71,0.0
253,5,0,2.5,0,0,0,3.43,0.0
254,6,0,3.0,0,1,1,4.29,0.0
255,6,0,3.0,0,0,0,5.14,0.0
256,7,0,3.5,0,1,1,6.14,0.0
257,7,0,3.5,0,0,0,7.14,0.0
258,7,0,3.5,0,1,1,8.14,0.0
259,7,0,3.5,0,0,0,9.14,0.0
260,7,0,3.5,0,1,1,10.14,0.0
261,7,0,3.5,0,0,0,11.14,0.0
262,7,0,3.5,0,1,1,12.14,0.0
263,7,0,3.5,0,0,1,13.14,0.0
264,7,0,3.5,0,1,0,14.14,0.0
265,7,0,3.5,0,0,1,15.14,0.0
266,7,0,3.5,0,1,0,16.14,0.0
267,7,0,3.5,0,0,1,17.14,0.0
268,7,0,3.5,0,1,0,18.14,0.0
269,7,0,3.5,0,0,0,19.14,0.0
270,7,0,3.5,0,1,1,20.14,0.0
271,7,0,3.5,0,0,0,21.14,0.0
272,7,0,3.5,0,1,1,22.14,0.0
273,7,0,3.5,0,0,0,23.14,0.0
274,7,0,3.5,0,1,1,24.14,0.0
275,7,0,3.5,0,1,1,25.14,0.0
276,7,0,3.5,0,0,0,26.14,0.0
277,6,1,2.5,0,1,1,26.33,0.25
278,5,1,2.0,0,0,0,22.0,0.5
279,4,1,1.5,0,0,0,17.67,0.75
280,3,1,1.0,0,1,0,16.0,0.8
281,2,2,0.0,0,0,0,10.8,1.2
282,1,3,1.0,0,0,0,5.4,1.8
283,0,3,1.5,0,0,0,0.0,2.4
284,0,4,2.0,0,0,0,0.0,3.2
285,0,4,2.0,0,0,1,0.0,4.0
286,0,5,2.5,0,0,0,0.0,5.0
287,0,5,2.5,1,0,1,0.0,6.0
288,0,5,2.5,0,0,0,0.0,7.0
289,0,5,2.5,0,0,1,0.0,8.0
290,0,5,2.5,1,0,1,0.0,9.0
291,0,5,2.5,0,0,0,0.0,10.0
292,0,5,2.5,1,0,1,0.0,11.0
293,0,5,2.5,0,0,0,0.0,12.0
294,0,5,2.5,1,0,1,0.0,13.0
295,0,5,2.5,0,0,0,0.0,14.0
296,0,5,2.5,1,0,1,0.0,15.0
