Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
130,7,1,3.0,0,0,0,43.0,2.0
131,6,1,2.5,0,0,1,37.0,3.0
132,5,1,2.0,0,0,0,32.0,4.0
133,4,2,1.0,0,0,0,26.0,6.0
134,3,2,0.5,0,0,0,21.0,8.0
135,2,2,0.0,0,0,0,14.0,10.0
136,1,2,0.5,0,0,0,7.0,12.0
137,0,2,1.0,0,0,0,0.0,14.0
138,0,3,1.5,0,0,0,0.0,16.0
139,0,2,1.0,0,0,1,0.0,18.0
140,0,2,1.0,0,0,0,0.0,20.0
141,0,2,1.0,0,0,1,0.0,22.0
142,0,2,1.0,0,0,0,0.0,24.0
143,0,3,1.5,0,0,1,0.0,27.0
144,0,2,1.0,0,0,0,0.0,14.0
145,1,1,0.0,0,0,1,1.0,3.0
146,1,1,0.0,0,0,0,2.0,1.0
147,2,0,1.0,0,0,1,4.0,0.0
148,2,0,1.0,0,0,0,6.0,0.0
149,3,0,1.5,0,0,0,9.0,0.0
150,4,0,2.0,0,0,1,13.0,0.0
151,5,0,2.5,0,0,0,18.0,0.0
152,5,0,2.5,0,0,1,23.0,0.0
153,6,0,3.0,0,0,0,29.0,0.0
154,6,0,3.0,0,0,1,35.0,0.0
155,7,0,3.5,0,0,0,42.0,0.0
156,7,0,3.5,0,0,1,49.0,0.0
157,6,0,3.0,0,0,0,43.0,0.0
158,5,0,2.5,0,0,0,37.0,0.0
159,4,0,2.0,0,0,0,31.0,0.0
160,3,0,1.5,0,0,0,24.0,0.0
161,2,0,1.0,0,0,0,16.0,0.0
162,1,0,0.5,0,0,0,8.0,0.0
163,0,0,0.0,0,0,0,0.0,0.0
164,0,1,0.5,0,0,0,0.0,1.0
165,0,1,0.5,0,0,1,0.0,2.0
166,0,1,0.5,0,0,0,0.0,3.0
167,0,1,0.5,0,0,1,0.0,4.0
168,0,1,0.5,0,0,1,0.0,5.0
169,0,1,0.5,0,0,0,0.0,6.0
170,0,0,0.0,0,0,1,0.0,0.0
171,0,0,0.0,0,0,0,0.0,0.0
172,1,0,0.5,0,0,1,1.0,0.0
173,1,0,0.5,0,0,0,2.0,0.0
174,1,0,0.5,0,0,0,3.0,0.0
175,2,0,1.0,0,0,0,5.0,0.0
176,3,0,1.5,0,0,0,8.0,0.0
177,4,0,2.0,0,0,1,12.0,0.0
178,3,0,1.5,0,0,0,14.0,0.0
179,4,0,2.0,0,0,0,18.0,0.0
180,5,0,2.5,0,0,0,23.0,0.0
181,6,0,3.0,0,0,0,29.0,0.0
182,6,0,3.0,0,0,1,35.0,0.0
183,6,0,3.0,0,0,0,30.0,0.0
184,5,0,2.5,0,0,1,26.0,0.0
185,4,0,2.0,0,0,0,21.0,0.0
186,3,0,1.5,0,0,0,17.0,0.0
187,2,0,1.0,0,0,0,12.0,0.0
188,1,0,0.5,0,0,0,6.0,0.0
189,0,0,0.0,0,0,0,0.0,0.0
190,0,1,0.5,0,0,0,0.0,1.0
191,0,1,0.5,0,0,1,0.0,2.0
192,0,1,0.5,0,0,0,0.0,3.0
193,0,1,0.5,0,0,1,0.0,4.0
194,0,1,0.5,0,0,0,0.0,5.0
195,0,2,1.0,0,0,1,0.0,7.0
196,1,1,0.0,0,0,0,1.0,2.0
197,1,0,0.5,0,0,1,2.0,0.0
198,2,0,1.0,0,0,0,4.0,0.0
199,3,0,1.5,0,0,0,7.0,0.0
200,4,0,2.0,0,0,0,11.0,0.0
201,5,0,2.5,0,0,0,16.0,0.0
202,5,0,2.5,0,0,1,21.0,0.0
203,5,0,2.5,0,0,0,26.0,0.0
204,5,0,2.5,0,0,1,31.0,0.0
205,6,0,3.0,0,0,0,37.0,0.0
206,6,0,3.0,0,0,1,43.0,0.0
207,7,0,3.5,0,0,0,50.0,0.0
208,7,0,3.5,0,0,0,57.0,0.0
209,6,0,3.0,0,0,0,50.0,0.0
210,5,0,2.5,0,0,0,43.0,0.0
211,4,0,2.0,0,0,0,35.0,0.0
212,3,0,1.5,0,0,0,26.0,0.0
213,2,0,1.0,0,0,0,16.0,0.0
214,1,0,0.5,0,0,0,8.0,0.0
215,0,0,0.0,0,0,0,0.0,0.0
216,0,0,0.0,0,0,0,0.0,0.0
217,0,0,0.0,0,0,0,0.0,0.0
218,0,0,0.0,0,0,1,0.0,0.0
219,0,0,0.0,0,0,1,0.0,0.0
220,0,0,0.0,0,0,0,0.0,0.0
221,0,0,0.0,0,0,1,0.0,0.0
222,0,0,0.0,0,0,0,0.0,0.0
223,0,0,0.0,0,0,1,0.0,0.0
224,1,0,0.5,0,0,0,1.0,0.0
225,2,0,1.0,0,0,1,3.0,0.0
226,2,0,1.0,0,0,0,5.0,0.0
227,3,0,1.5,0,0,0,8.0,0.0
228,3,0,1.5,0,0,1,11.0,0.0
229,4,0,2.0,0,0,0,15.0,0.0
230,5,0,2.5,0,0,0,20.0,0.0
231,5,0,2.5,0,0,0,25.0,0.0
232,6,0,3.0,0,0,0,31.0,0.0
233,6,0,3.0,0,0,0,37.0,0.0
234,7,0,3.5,0,0,0,44.0,0.0
235,6,0,3.0,0,0,0,39.0,0.0
236,5,0,2.5,0,0,1,33.0,0.0
237,4,0,2.0,0,0,0,27.0,0.0
238,3,0,1.5,0,0,0,21.0,0.0
239,2,0,1.0,0,0,0,14.0,0.0
240,1,0,0.5,0,0,0,7.0,0.0
241,0,0,0.0,0,0,0,0.0,0.0
242,0,0,0.0,0,0,0,0.0,0.0
243,0,0,0.0,0,0,1,0.0,0.0
244,0,0,0.0,0,0,0,0.0,0.0
245,0,0,0.0,0,0,1,0.0,0.0
246,0,1,0.5,0,0,0,0.0,1.0
247,0,1,0.5,0,0,1,0.0,2.0
248,1,0,0.5,0,0,0,1.0,0.0
249,1,0,0.5,0,0,1,2.0,0.0
250,2,0,1.0,0,0,0,4.0,0.0
251,3,0,1.5,0,0,0,7.0,0.0
252,4,0,2.0,0,0,0,11.0,0.0
253,4,0,2.0,0,0,0,15.0,0.0
254,4,0,2.0,0,0,1,19.0,0.0
255,5,0,2.5,0,0,0,24.0,0.0
256,6,0,3.0,0,0,1,30.0,0.0
257,6,0,3.0,0,0,0,36.0,0.0
258,7,0,3.5,0,0,0,43.0,0.0
259,7,0,3.5,0,0,0,50.0,0.0
260,7,0,3.5,0,0,0,57.0,0.0
261,6,0,3.0,0,0,0,50.0,0.0
262,5,0,2.5,0,0,0,43.0,0.0
263,4,0,2.0,0,0,0,35.0,0.0
264,3,0,1.5,0,0,0,26.0,0.0
265,2,0,1.0,0,0,0,18.0,0.0
266,1,0,0.5,0,0,0,9.0,0.0
267,0,0,0.0,0,0,0,0.0,0.0
268,0,0,0.0,0,0,0,0.0,0.0
269,0,0,0.0,0,0,1,0.0,0.0
270,0,0,0.0,0,0,0,0.0,0.0
271,0,0,0.0,0,0,0,0.0,0.0
272,0,0,0.0,0,0,1,0.0,0.0
273,0,1,0.5,0,0,0,0.0,1.0
274,0,0,0.0,0,0,1,0.0,0.0
275,1,0,0.5,0,0,1,1.0,0.0
276,1,0,0.5,0,0,0,2.0,0.0
277,2,0,1.0,0,0,1,4.0,0.0
278,2,0,1.0,0,0,0,6.0,0.0
279,3,0,1.5,0,0,0,9.0,0.0
280,3,0,1.5,0,0,1,12.0,0.0
281,3,0,1.5,0,0,0,15.0,0.0
282,4,0,2.0,0,0,1,19.0,0.0
283,5,0,2.5,0,0,0,24.0,0.0
284,6,0,3.0,0,0,0,30.0,0.0
285,6,0,3.0,0,0,0,36.0,0.0
286,6,0,3.0,0,0,0,42.0,0.0
287,6,0,3.0,0,0,0,36.0,0.0
288,5,0,2.5,0,0,0,30.0,0.0
289,4,0,2.0,0,0,0,24.0,0.0
290,3,0,1.5,0,0,0,19.0,0.0
291,2,0,1.0,0,0,0,13.0,0.0
292,1,0,0.5,0,0,0,6.0,0.0
293,0,0,0.0,0,0,0,0.0,0.0
294,0,0,0.0,0,0,0,0.0,0.0
295,0,0,0.0,0,0,1,0.0,0.0
296,0,0,0.0,0,0,0,0.0,0.0
297,0,0,0.0,0,0,1,0.0,0.0
298,0,0,0.0,0,0,0,0.0,0.0
299,0,1,0.5,0,0,1,0.0,1.0
300,0,1,0.5,0,0,0,0.0,1.0
301,1,0,0.5,0,0,1,1.0,0.0
302,1,0,0.5,0,0,0,2.0,0.0
303,1,0,0.5,0,0,1,3.0,0.0
304,2,0,1.0,0,0,0,5.0,0.0
305,2,0,1.0,0,0,0,7.0,0.0
306,3,0,1.5,0,0,1,10.0,0.0
307,4,0,2.0,0,0,0,14.0,0.0
308,5,0,2.5,0,0,1,19.0,0.0
309,6,0,3.0,0,0,0,25.0,0.0
310,6,0,3.0,0,0,0,31.0,0.0
311,6,0,3.0,0,0,0,37.0,0.0
312,7,0,3.5,0,0,0,44.0,0.0
313,6,0,3.0,0,0,0,38.0,0.0
314,5,0,2.5,0,0,0,33.0,0.0
315,4,0,2.0,0,0,0,28.0,0.0
316,3,0,1.5,0,0,0,22.0,0.0
317,2,0,1.0,0,0,0,15.0,0.0
318,1,0,0.5,0,0,0,7.0,0.0
319,0,0,0.0,0,0,0,0.0,0.0
320,0,0,0.0,0,0,0,0.0,0.0
321,0,0,0.0,0,0,1,0.0,0.0
322,0,0,0.0,0,0,0,0.0,0.0
323,0,0,0.0,0,0,1,0.0,0.0
324,0,0,0.0,0,0,0,0.0,0.0
325,1,0,0.5,0,0,1,1.0,0.0
326,1,0,0.5,0,0,0,2.0,0.0
327,2,0,1.0,0,0,1,4.0,0.0
328,2,0,1.0,0,0,0,6.0,0.0
329,2,0,1.0,0,0,0,8.0,0.0
330,3,0,1.5,0,0,0,11.0,0.0
331,4,0,2.0,0,0,0,15.0,0.0
332,4,0,2.0,0,0,1,19.0,0.0
333,5,0,2.5,0,0,0,24.0,0.0
334,6,0,3.0,0,0,1,30.0,0.0
335,6,0,3.0,0,0,0,36.0,0.0
336,7,0,3.5,0,0,0,43.0,0.0
337,7,0,3.5,0,0,0,50.0,0.0
338,7,0,3.5,0,0,0,57.0,0.0
339,6,0,3.0,0,0,0,49.0,0.0
340,5,1,2.0,0,0,0,41.0,1.0
341,4,1,1.5,0,0,0,34.0,2.0
342,3,1,1.0,0,0,0,26.0,3.0
343,2,1,0.5,0,0,0,18.0,4.0
344,1,1,0.0,0,0,0,9.0,5.0
345,0,1,0.5,0,0,0,0.0,6.0
346,0,1,0.5,0,0,0,0.0,7.0
347,0,1,0.5,0,0,1,0.0,8.0
348,0,1,0.5,0,0,0,0.0,9.0
349,0,2,1.0,0,0,1,0.0,10.0
350,0,1,0.5,0,0,0,0.0,11.0
351,0,1,0.5,0,0,1,0.0,12.0
352,0,0,0.0,0,0,0,0.0,0.0
353,1,0,0.5,0,0,1,1.0,0.0
354,2,0,1.0,0,0,0,3.0,0.0
355,2,0,1.0,0,0,0,5.0,0.0
356,2,0,1.0,0,0,0,7.0,0.0
357,3,0,1.5,0,0,0,10.0,0.0
358,3,0,1.5,0,0,1,13.0,0.0
359,4,0,2.0,0,0,0,17.0,0.0
360,5,0,2.5,0,0,0,22.0,0.0
361,6,0,3.0,0,0,1,28.0,0.0
362,6,0,3.0,0,0,0,34.0,0.0
363,7,0,3.5,0,0,1,41.0,0.0
364,7,0,3.5,0,0,0,48.0,0.0
365,6,0,3.0,0,0,0,42.0,0.0
366,5,0,2.5,0,0,0,35.0,0.0
367,4,0,2.0,0,0,0,29.0,0.0
368,3,0,1.5,0,0,0,23.0,0.0
369,2,0,1.0,0,0,0,16.0,0.0
370,1,0,0.5,0,0,0,8.0,0.0
371,0,0,0.0,0,0,0,0.0,0.0
372,0,0,0.0,0,0,0,0.0,0.0
373,0,1,0.5,0,0,1,0.0,1.0
374,0,2,1.0,0,0,0,0.0,3.0
375,0,2,1.0,0,0,1,0.0,5.0
376,0,2,1.0,0,0,0,0.0,7.0
377,0,2,1.0,0,0,1,0.0,9.0
378,1,1,0.0,0,0,0,1.0,5.0
379,2,0,1.0,0,0,1,3.0,0.0
