Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
130,7,1,3.0,0,0,0,42.0,2.0
131,6,1,2.5,0,0,1,37.0,3.0
132,5,1,2.0,0,0,0,31.0,4.0
133,4,2,1.0,0,0,0,26.0,6.0
134,3,2,0.5,0,0,0,20.0,8.0
135,2,3,0.5,0,0,0,13.0,11.0
136,1,3,1.0,0,0,0,7.0,14.0
137,1,4,1.5,0,0,0,8.0,18.0
138,0,5,2.5,0,0,0,0.0,23.0
139,0,5,2.5,0,0,1,0.0,28.0
140,0,5,2.5,0,0,0,0.0,33.0
141,0,5,2.5,0,0,1,0.0,38.0
142,0,5,2.5,0,0,0,0.0,43.0
143,0,5,2.5,0,0,1,0.0,48.0
144,0,4,2.0,0,0,0,0.0,37.0
145,1,3,1.0,0,0,1,1.0,28.0
146,1,2,0.5,0,0,1,2.0,19.0
147,2,1,0.5,0,0,0,4.0,10.0
148,2,0,1.0,0,0,0,6.0,0.0
149,3,0,1.5,0,0,0,9.0,0.0
150,3,0,1.5,0,0,1,12.0,0.0
151,4,0,2.0,0,0,0,16.0,0.0
152,5,0,2.5,0,0,0,21.0,0.0
153,5,0,2.5,0,0,1,26.0,0.0
154,6,0,3.0,0,0,0,32.0,0.0
155,6,0,3.0,0,0,1,38.0,0.0
156,7,0,3.5,0,0,1,45.0,0.0
157,6,1,2.5,0,0,0,39.0,1.0
158,5,1,2.0,0,0,0,33.0,2.0
159,4,2,1.0,0,0,0,27.0,4.0
160,3,3,0.0,0,0,0,21.0,7.0
161,2,3,0.5,0,0,0,14.0,10.0
162,1,3,1.0,0,0,0,7.0,13.0
163,0,4,2.0,0,0,0,0.0,17.0
164,0,5,2.5,0,0,1,0.0,22.0
165,0,5,2.5,0,0,0,0.0,27.0
166,0,5,2.5,0,0,0,0.0,32.0
167,0,5,2.5,0,0,1,0.0,37.0
168,0,5,2.5,0,0,0,0.0,42.0
169,0,5,2.5,0,0,1,0.0,47.0
170,0,4,2.0,0,0,1,0.0,38.0
171,1,3,1.0,0,0,0,1.0,29.0
172,1,2,0.5,0,0,0,2.0,19.0
173,2,1,0.5,0,0,1,4.0,10.0
174,2,0,1.0,0,0,0,6.0,0.0
175,3,0,1.5,0,0,0,9.0,0.0
176,3,0,1.5,0,0,1,12.0,0.0
177,4,0,2.0,0,0,0,16.0,0.0
178,4,0,2.0,0,0,1,20.0,0.0
179,5,0,2.5,0,0,0,25.0,0.0
180,6,0,3.0,0,0,1,31.0,0.0
181,7,0,3.5,0,0,0,38.0,0.0
182,7,0,3.5,0,0,1,45.0,0.0
183,6,0,3.0,0,0,0,39.0,0.0
184,5,0,2.5,0,0,1,33.0,0.0
185,4,0,2.0,0,0,0,27.0,0.0
186,3,1,1.0,0,0,0,21.0,1.0
187,2,1,0.5,0,0,0,15.0,2.0
188,1,2,0.5,0,0,0,8.0,4.0
189,0,2,1.0,0,0,0,0.0,6.0
190,0,3,1.5,0,0,0,0.0,9.0
191,0,4,2.0,0,0,1,0.0,13.0
192,0,4,2.0,0,0,0,0.0,17.0
193,0,5,2.5,0,0,1,0.0,22.0
194,0,5,2.5,0,0,0,0.0,27.0
195,1,5,2.0,0,0,1,1.0,32.0
196,1,4,1.5,0,0,0,2.0,26.0
197,1,3,1.0,0,0,1,3.0,20.0
198,2,2,0.0,0,0,0,5.0,14.0
199,2,1,0.5,0,0,0,7.0,7.0
200,3,0,1.5,0,0,0,10.0,0.0
201,3,0,1.5,0,0,0,13.0,0.0
202,4,0,2.0,0,0,0,17.0,0.0
203,5,0,2.5,0,0,1,22.0,0.0
204,6,0,3.0,0,0,0,28.0,0.0
205,6,0,3.0,0,0,1,34.0,0.0
206,7,0,3.5,0,0,0,41.0,0.0
207,7,0,3.5,0,0,1,48.0,0.0
208,7,0,3.5,0,0,0,55.0,0.0
209,6,0,3.0,0,0,1,47.0,0.0
210,5,1,2.0,0,0,0,40.0,1.0
211,4,2,1.0,0,0,0,33.0,3.0
212,3,2,0.5,0,0,0,26.0,5.0
213,2,2,0.0,0,0,0,18.0,7.0
214,1,4,1.5,0,0,0,9.0,11.0
215,0,4,2.0,0,0,0,0.0,15.0
216,0,4,2.0,0,0,0,0.0,19.0
217,0,5,2.5,0,0,1,0.0,24.0
218,0,5,2.5,0,0,0,0.0,29.0
219,0,5,2.5,0,0,1,0.0,34.0
220,0,5,2.5,0,0,0,0.0,39.0
221,1,5,2.0,0,0,1,1.0,44.0
222,1,4,1.5,0,0,0,2.0,36.0
223,2,3,0.5,0,0,1,4.0,27.0
224,2,2,0.0,0,0,0,6.0,19.0
225,3,1,1.0,0,0,0,9.0,9.0
226,3,0,1.5,0,0,0,12.0,0.0
227,3,0,1.5,0,0,0,15.0,0.0
228,4,0,2.0,0,0,1,19.0,0.0
229,5,0,2.5,0,0,0,24.0,0.0
230,6,0,3.0,0,0,1,30.0,0.0
231,6,0,3.0,0,0,0,36.0,0.0
232,6,0,3.0,0,0,1,42.0,0.0
233,7,0,3.5,0,0,0,49.0,0.0
234,7,0,3.5,0,0,1,56.0,0.0
235,6,0,3.0,0,0,0,48.0,0.0
236,5,0,2.5,0,0,1,40.0,0.0
