Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
130,0,5,2.5,0,0,1,0.0,32.0
131,0,5,2.5,1,0,0,0.0,33.0
132,0,5,2.5,0,0,0,0.0,34.0
133,0,5,2.5,1,0,1,0.0,35.0
134,0,5,2.5,0,0,0,0.0,36.0
135,0,5,2.5,1,0,0,0.0,37.0
136,0,5,2.5,0,0,1,0.0,38.0
137,0,5,2.5,1,0,0,0.0,39.0
138,0,5,2.5,0,0,1,0.0,40.0
139,0,5,2.5,1,0,1,0.0,41.0
140,0,5,2.5,0,0,0,0.0,42.0
141,0,5,2.5,1,0,1,0.0,43.0
142,0,4,2.0,1,0,0,0.0,43.25
143,0,3,1.5,0,0,1,0.0,32.75
144,0,2,1.0,1,0,0,0.0,22.0
145,1,1,0.0,0,0,1,0.2,14.67
146,2,0,1.0,1,0,0,0.5,0.0
147,2,0,1.0,0,0,0,0.83,0.0
148,3,0,1.5,0,0,1,1.33,0.0
149,4,0,2.0,1,0,0,1.71,0.0
150,5,0,2.5,0,1,1,2.43,0.0
151,5,0,2.5,0,0,0,3.14,0.0
152,5,0,2.5,0,1,1,3.86,0.0
153,6,0,3.0,0,0,0,4.71,0.0
154,7,0,3.5,0,1,1,5.71,0.0
155,7,0,3.5,0,0,0,6.71,0.0
156,7,0,3.5,0,1,1,7.71,0.0
157,7,0,3.5,0,0,0,8.71,0.0
158,7,0,3.5,0,1,1,9.71,0.0
159,7,0,3.5,0,0,1,10.71,0.0
160,7,0,3.5,0,1,0,11.71,0.0
161,7,0,3.5,0,0,1,12.71,0.0
162,7,0,3.5,0,1,0,13.71,0.0
163,7,0,3.5,0,0,1,14.71,0.0
164,7,0,3.5,0,1,0,15.71,0.0
165,7,0,3.5,0,0,1,16.71,0.0
166,7,0,3.5,0,1,0,17.71,0.0
167,7,0,3.5,0,0,1,18.71,0.0
168,7,0,3.5,0,1,0,19.71,0.0
169,7,0,3.5,0,0,1,20.71,0.0
170,7,0,3.5,0,1,0,21.71,0.0
171,7,0,3.5,0,0,1,22.71,0.0
172,7,0,3.5,0,1,0,23.71,0.0
173,7,0,3.5,0,0,1,24.71,0.0
174,7,0,3.5,0,1,0,25.71,0.0
