cycle_step,we_waiting_time,ns_waiting_time,we_queue,ns_queue,completed_vehicles
0,305.0,2.0,7,1,40
1,308.0,2.0,7,1,42
2,317.0,2.0,7,1,42
3,305.0,5.0,7,2,43
4,318.0,2.0,7,1,42
5,309.0,3.0,7,2,42
6,310.0,2.0,7,1,42
7,303.0,2.0,7,1,42
8,311.0,0.0,7,0,41
9,316.0,2.0,7,1,42
10,313.0,2.0,7,1,42
11,309.0,4.0,7,2,42
12,318.0,2.0,7,1,42
13,306.0,4.0,7,2,42
14,305.0,0,7,0,27
15,310.0,0,7,0,21
16,308.0,0,7,0,21
17,310.0,0,7,0,21
18,305.0,0,7,0,21
19,308.0,0,7,0,21
20,306.0,0,7,0,21
21,313.0,0,7,0,21
22,304.0,0,7,0,21
23,306.0,0,7,0,21
24,306.0,0,7,0,21
25,309.0,0,7,0,21
26,309.0,0,7,0,21
27,307.0,0,7,0,21
28,314.0,0,7,0,21
29,321.0,0,7,0,20
30,321.0,0,7,0,20
31,300.0,0,7,0,22
32,315.0,0,7,0,21
33,302.0,0,7,0,21
34,315.0,0,7,0,21
35,310.0,0,7,0,21
36,327.0,0,7,0,20
37,303.0,0,7,0,21
38,314.0,0,7,0,21
39,309.0,0,7,0,21
40,313.0,0,7,0,21
41,312.0,0,7,0,21
42,51.0,0,1,0,21
43,0,0,0,0,1
