episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
1,26,1572.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,42.14,26.86,7,7,15,0.2273,0.2686,0.35,0.0227,-0.1343,-0.07,0.0068,0.0,-0.1975,-0.0191,-0.0387,1.0,66
1,27,1618.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.86,17.14,7,7,10,0.2174,0.1714,0.35,0.0217,-0.0857,-0.07,0.0065,0.0,-0.1492,-0.038,-0.0514,1.0,46
1,28,1684.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,17.14,25.57,7,7,15,0.2273,0.2557,0.35,0.0227,-0.1279,-0.07,0.0068,0.0,-0.191,-0.081,-0.0955,1.0,66
1,29,1730.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.57,15.14,7,7,10,0.2174,0.1514,0.35,0.0217,-0.0757,-0.07,0.0065,0.0,-0.1392,-0.0514,-0.0624,1.0,46
1,30,1826.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,15.14,40.43,7,7,23,0.2396,0.4043,0.35,0.024,-0.2021,-0.07,0.0072,0.0,-0.265,-0.0775,-0.0997,1.0,96
1,31,1872.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,40.43,16.57,7,7,10,0.2174,0.1657,0.35,0.0217,-0.0829,-0.07,0.0065,0.0,-0.1463,-0.0624,-0.0731,1.0,46
1,32,1938.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.57,26.43,7,7,15,0.2273,0.2643,0.35,0.0227,-0.1321,-0.07,0.0068,0.0,-0.1953,-0.0955,-0.1089,1.0,66
1,33,2004.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.43,27.71,7,7,15,0.2273,0.2771,0.35,0.0227,-0.1386,-0.07,0.0068,0.0,-0.2018,-0.0387,-0.0585,1.0,66
1,34,2050.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,27.71,16.0,7,7,10,0.2174,0.16,0.35,0.0217,-0.08,-0.07,0.0065,0.0,-0.1435,-0.0731,-0.0824,1.0,46
1,35,2096.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.0,15.86,7,7,10,0.2174,0.1586,0.35,0.0217,-0.0793,-0.07,0.0065,0.0,-0.1428,-0.0405,-0.053,1.0,46
1,36,2162.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.86,26.29,7,7,15,0.2273,0.2629,0.35,0.0227,-0.1314,-0.07,0.0068,0.0,-0.1946,-0.1089,-0.1214,1.0,66
1,37,2228.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.29,25.71,7,7,15,0.2273,0.2571,0.35,0.0227,-0.1286,-0.07,0.0068,0.0,-0.1918,-0.0585,-0.0757,1.0,66
1,38,2324.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,25.71,39.71,7,7,23,0.2396,0.3971,0.35,0.024,-0.1986,-0.07,0.0072,0.0,-0.2614,-0.0516,-0.0765,1.0,96
