cycle_step,we_waiting_time,ns_waiting_time,we_queue,ns_queue,completed_vehicles
0,188.0,0.0,7,0,27
1,180.0,0.0,7,0,30
2,182.0,0.0,7,0,30
3,190.0,0.0,7,0,30
4,189.0,0.0,7,0,30
5,170.0,1.0,7,1,31
6,188.0,0.0,7,0,29
7,189.0,0.0,7,0,30
8,181.0,0.0,7,0,30
9,187.0,0.0,7,0,31
10,177.0,0.0,7,0,31
11,184.0,0.0,7,0,30
12,186.0,0.0,7,0,28
13,181.0,0.0,7,0,31
14,189.0,0.0,7,0,29
15,181.0,0.0,7,0,31
16,183.0,0.0,7,0,30
17,177.0,0.0,7,0,30
18,188.0,1.0,7,1,29
19,193.0,0.0,7,0,30
20,185.0,0,7,0,17
21,185.0,0,7,0,15
22,181.0,0,7,0,15
23,184.0,0,7,0,15
24,190.0,0,7,0,14
25,186.0,0,7,0,14
26,180.0,0,7,0,15
27,180.0,0,7,0,15
28,176.0,0,7,0,15
29,184.0,0,7,0,15
30,187.0,0,7,0,15
31,189.0,0,7,0,15
32,180.0,0,7,0,15
33,180.0,0,7,0,15
34,181.0,0,7,0,15
35,177.0,0,7,0,15
36,185.0,0,7,0,15
37,187.0,0,7,0,15
38,176.0,0,7,0,16
39,183.0,0,7,0,15
40,176.0,0,7,0,15
41,186.0,0,7,0,15
42,187.0,0,7,0,15
43,194.0,0,7,0,15
44,181.0,0,7,0,15
45,180.0,0,7,0,15
46,166.0,0,7,0,15
47,183.0,0,7,0,15
48,186.0,0,7,0,15
49,175.0,0,7,0,15
50,185.0,0,7,0,15
51,202.0,0,7,0,14
52,180.0,0,7,0,15
53,185.0,0,7,0,15
54,199.0,0,7,0,14
55,190.0,0,7,0,15
56,188.0,0,7,0,15
57,179.0,0,7,0,15
58,183.0,0,7,0,15
59,118.0,0,4,0,15
60,0,0,0,0,4
