cycle_step,we_waiting_time,ns_waiting_time,we_queue,ns_queue,completed_vehicles
0,41.0,0.0,7,0,7
1,42.0,0.0,7,0,9
2,41.0,0.0,7,0,11
3,50.0,1.0,7,1,10
4,60.0,0.0,7,0,7
5,53.0,0.0,7,0,9
6,61.0,0.0,7,0,9
7,43.0,0.0,7,0,9
8,59.0,0.0,7,0,7
9,41.0,1.0,6,1,10
10,59.0,0.0,7,0,8
11,46.0,0.0,7,0,10
12,59.0,0.0,7,0,9
13,45.0,0.0,7,0,10
14,58.0,0.0,7,0,9
15,40.0,0.0,7,0,10
16,40.0,0.0,7,0,10
17,53.0,0.0,7,0,9
18,65.0,0.0,7,0,9
19,58.0,0.0,7,0,9
20,42.0,2.0,7,1,10
21,49.0,2.0,7,1,9
22,43.0,1.0,7,1,9
23,45.0,0.0,7,0,9
24,44.0,0.0,7,0,10
25,50.0,0.0,7,0,9
26,59.0,1.0,7,1,8
27,58.0,0.0,7,0,8
28,39.0,0.0,6,0,10
29,48.0,0.0,7,0,10
30,44.0,0.0,7,0,10
31,62.0,1.0,7,1,9
32,52.0,0.0,7,0,9
33,38.0,0.0,6,0,10
34,34.0,0.0,6,0,10
35,54.0,1.0,7,1,8
36,50.0,0.0,7,0,9
37,54.0,0.0,7,0,9
38,45.0,0.0,7,0,10
39,54.0,2.0,7,1,9
40,56.0,0.0,7,0,8
41,64.0,0.0,7,0,9
42,45.0,0.0,7,0,10
43,56.0,0.0,7,0,9
44,42.0,0.0,7,0,9
45,56.0,0.0,7,0,9
46,58.0,0.0,7,0,9
47,58.0,0.0,7,0,9
48,59.0,2.0,7,1,9
49,40.0,2.0,7,1,9
50,51.0,0.0,7,0,8
51,59.0,0.0,7,0,9
52,50.0,0.0,7,0,10
53,56.0,0.0,7,0,8
54,44.0,0.0,7,0,10
55,47.0,0.0,7,0,9
56,43.0,2.0,6,1,9
57,56.0,0.0,7,0,8
58,45.0,1.0,7,1,10
59,46.0,0.0,7,0,9
60,43.0,0.0,7,0,9
61,39.0,2.0,7,1,10
62,50.0,0.0,7,0,10
63,56.0,1.0,7,1,8
64,48.0,0,7,0,10
65,47.0,0,7,0,6
66,59.0,0,7,0,4
67,49.0,0,7,0,5
68,64.0,0,7,0,4
69,63.0,0,7,0,4
70,43.0,0,7,0,5
71,48.0,0,7,0,5
72,44.0,0,7,0,5
73,57.0,0,7,0,4
74,55.0,0,7,0,4
75,38.0,0,6,0,5
76,45.0,0,7,0,5
77,59.0,0,7,0,4
78,50.0,0,7,0,5
79,61.0,0,7,0,4
80,60.0,0,7,0,4
81,33.0,0,6,0,5
82,42.0,0,7,0,5
83,46.0,0,7,0,5
84,46.0,0,7,0,5
85,47.0,0,7,0,5
86,45.0,0,7,0,5
87,62.0,0,7,0,4
88,44.0,0,7,0,5
89,47.0,0,7,0,5
90,44.0,0,7,0,5
91,48.0,0,7,0,5
92,53.0,0,7,0,4
93,45.0,0,7,0,5
94,56.0,0,7,0,4
95,48.0,0,7,0,5
96,50.0,0,7,0,4
97,46.0,0,7,0,5
98,41.0,0,6,0,5
99,43.0,0,7,0,5
100,41.0,0,6,0,5
101,43.0,0,7,0,5
102,44.0,0,7,0,5
103,38.0,0,6,0,5
104,66.0,0,7,0,4
105,48.0,0,7,0,5
106,55.0,0,7,0,4
107,43.0,0,7,0,5
108,37.0,0,6,0,5
109,41.0,0,7,0,5
110,34.0,0,6,0,5
111,60.0,0,7,0,4
112,37.0,0,7,0,5
113,56.0,0,7,0,4
114,43.0,0,7,0,5
115,54.0,0,7,0,4
116,40.0,0,7,0,5
117,38.0,0,6,0,5
118,62.0,0,7,0,4
119,59.0,0,7,0,4
120,60.0,0,7,0,4
121,45.0,0,7,0,5
122,41.0,0,6,0,5
123,50.0,0,7,0,5
124,43.0,0,7,0,5
125,45.0,0,7,0,5
126,46.0,0,7,0,5
127,40.0,0,7,0,5
128,40.0,0,6,0,5
129,56.0,0,7,0,4
130,44.0,0,7,0,5
131,61.0,0,7,0,4
132,44.0,0,7,0,5
133,61.0,0,7,0,4
134,47.0,0,7,0,5
135,58.0,0,7,0,4
136,48.0,0,7,0,5
137,44.0,0,7,0,5
138,54.0,0,7,0,4
139,48.0,0,7,0,5
140,55.0,0,7,0,4
141,50.0,0,7,0,4
142,45.0,0,7,0,5
143,46.0,0,7,0,5
144,56.0,0,7,0,4
145,62.0,0,7,0,4
146,62.0,0,7,0,4
147,42.0,0,6,0,5
148,55.0,0,7,0,4
149,46.0,0,7,0,5
150,53.0,0,7,0,4
151,66.0,0,7,0,4
152,44.0,0,7,0,5
153,65.0,0,7,0,4
154,56.0,0,7,0,4
155,52.0,0,7,0,4
156,53.0,0,7,0,4
157,50.0,0,7,0,5
158,63.0,0,7,0,4
159,45.0,0,7,0,5
160,40.0,0,7,0,5
161,48.0,0,7,0,4
162,46.0,0,7,0,5
163,44.0,0,6,0,5
164,57.0,0,7,0,4
165,52.0,0,7,0,5
166,44.0,0,7,0,5
167,41.0,0,6,0,5
168,44.0,0,7,0,5
169,65.0,0,7,0,4
170,40.0,0,7,0,5
171,47.0,0,7,0,5
172,63.0,0,7,0,4
173,43.0,0,7,0,5
174,55.0,0,7,0,4
175,46.0,0,7,0,5
176,42.0,0,6,0,5
177,62.0,0,7,0,4
178,52.0,0,7,0,4
179,49.0,0,7,0,5
180,45.0,0,7,0,5
181,45.0,0,7,0,5
182,56.0,0,7,0,4
183,54.0,0,7,0,4
184,57.0,0,7,0,4
185,43.0,0,7,0,5
186,41.0,0,7,0,5
187,49.0,0,7,0,4
188,58.0,0,7,0,4
189,63.0,0,7,0,4
190,45.0,0,7,0,4
191,38.0,0,7,0,5
192,42.0,0,6,0,5
193,50.0,0,7,0,5
194,45.0,0,7,0,5
195,28.0,0,3,0,5
196,0,0,0,0,3
